day2024,temp_warming,temp_warming_noise,temp_warming_noise_extreme,temp_warming_noise_extreme_inertia,temp_warming_noise_extreme_inertia_currents
1,8.12242,8.42731,8.42731,8.79444,8.88517
2,8.10851,7.77255,7.77255,8.20515,8.08202
3,8.09500,8.63327,6.63867,7.18466,7.36221
4,8.08186,8.52165,6.42952,6.99642,6.92997
5,8.06903,7.57649,2.22861,3.21561,3.06171
6,8.05648,7.88675,3.79358,4.62407,4.62153
7,8.04416,7.46045,12.20684,12.19601,12.39437
8,8.03203,8.14445,3.75177,4.58645,4.48512
9,8.02006,7.65570,7.65570,8.09998,8.14013
10,8.00820,7.72572,7.72572,8.16300,8.17208
11,7.99643,8.79813,8.79813,9.12817,9.25821
12,7.98472,8.10263,8.10263,8.50222,8.59200
13,7.97302,7.52374,7.52374,7.98122,8.03016
14,7.96133,8.04238,8.04238,8.44800,8.39018
15,7.94960,7.95570,7.95570,8.36999,8.46874
16,7.93782,8.09741,8.09741,8.49752,8.68872
17,7.92597,8.63868,8.63868,8.98467,9.12411
18,7.91402,8.26739,8.26739,8.65051,8.66127
19,7.90196,9.37083,9.37083,9.64360,9.45692
20,7.88978,8.41466,8.41466,8.78304,8.81444
21,7.87746,8.13885,8.13885,8.53482,8.38013
22,7.86500,7.74849,7.74849,8.18350,8.05081
23,7.85238,8.46344,8.46344,8.82695,8.78323
24,7.83960,8.18021,8.18021,8.57204,8.47262
25,7.82666,8.50989,8.50989,8.86876,8.79604
26,7.81356,8.02618,8.02618,8.43342,8.39314
27,7.80031,8.49430,8.49430,8.85472,9.00677
28,7.78689,7.82999,7.82999,8.25684,8.38730
29,7.77333,8.05719,8.05719,8.46133,8.27655
30,7.75964,7.26681,5.88410,6.50555,6.46295
31,7.74581,7.62776,9.45707,9.72122,9.82189
32,7.73188,8.22426,7.16261,7.65620,7.73398
33,7.71785,6.43350,6.43350,7.00000,7.14789
34,7.70375,7.17474,5.61246,6.26107,6.42298
35,7.68959,8.14604,9.44732,9.71244,9.63683
36,7.67541,7.17514,9.76240,9.99602,10.07669
37,7.66121,8.05044,8.05044,8.45525,8.31093
38,7.64704,7.77668,7.77668,8.20887,8.25677
39,7.63293,8.19649,8.19649,8.58669,8.67802
40,7.61890,7.69073,7.69073,8.13151,7.99277
41,7.60500,7.99361,7.99361,8.40410,8.42312
42,7.59125,7.55365,7.55365,8.00814,8.04579
43,7.57770,7.87719,7.87719,8.29933,8.11105
44,7.56438,8.03637,8.03637,8.44259,8.62609
45,7.55135,8.57137,8.57137,8.92409,8.98971
46,7.53864,8.41006,8.41006,8.77891,8.93565
47,7.52630,7.55049,7.55049,8.00530,8.18655
48,7.51438,8.24479,8.24479,8.63016,8.61932
49,7.50293,8.19306,8.19306,8.58361,8.75727
50,7.49200,8.19471,8.19471,8.58509,8.74132
51,7.48165,7.54590,7.54590,8.00117,8.00004
52,7.47192,7.07576,7.07576,7.57804,7.56009
53,7.46287,7.73929,7.73929,8.17521,8.05960
54,7.45456,7.87585,7.87585,8.29812,8.46529
55,7.44705,8.17123,8.17123,8.56396,8.71490
56,7.44039,7.78886,7.78886,8.21983,8.24615
57,7.43466,7.14883,11.21478,11.30316,11.17914
58,7.42990,8.47907,7.20462,7.69401,7.52517
59,7.42618,8.13300,12.91854,12.83654,13.00121
60,7.42356,8.02980,2.81681,3.74499,3.63729
61,7.42212,7.87690,7.87690,8.29907,8.38047
62,7.42190,7.36115,7.36115,7.83489,7.85055
63,7.42298,7.94227,7.94227,8.35790,8.17349
64,7.42542,7.74866,7.74866,8.18365,8.29505
65,7.42928,8.53909,11.22951,11.31641,11.15721
66,7.43464,7.12421,6.10913,6.70807,6.90291
67,7.44155,7.60767,9.69474,9.93512,9.89366
68,7.45009,7.30645,7.30645,7.78566,7.61820
69,7.46031,8.05091,8.05091,8.45568,8.41929
70,7.47229,8.48885,8.48885,8.84982,8.67415
71,7.48609,7.97431,7.97431,8.38673,8.45891
72,7.50177,8.49645,8.49645,8.85666,8.97698
73,7.51940,7.68141,7.68141,8.12313,8.03084
74,7.53904,7.75352,7.75352,8.18802,8.15573
75,7.56076,7.87413,7.87413,8.29657,8.10168
76,7.58461,8.76428,8.76428,9.09770,9.06793
77,7.61066,7.98255,7.98255,8.39415,8.31012
78,7.63897,7.65658,7.65658,8.10078,8.09160
79,7.66959,7.98901,7.98901,8.39997,8.40541
80,7.70259,7.05755,7.05755,7.56165,7.72609
81,7.73802,7.98893,7.98893,8.39989,8.22784
82,7.77594,7.01291,7.01291,7.52148,7.33003
83,7.81640,8.00730,8.00730,8.41642,8.58588
84,7.85945,8.06237,8.06237,8.46599,8.48488
85,7.90514,9.34401,9.34401,9.61946,9.66273
86,7.95353,8.84471,8.84471,9.17010,9.10770
87,8.00466,7.75695,7.75695,8.19111,8.31883
88,8.05857,8.49399,8.49399,8.85445,8.93630
89,8.11531,9.04883,9.04883,9.35380,9.28621
90,8.17492,8.42404,8.42404,8.79149,8.71136
91,8.23743,8.54420,8.54420,8.89963,8.88062
92,8.30289,8.31911,8.31911,8.69705,8.57934
93,8.37133,8.74441,8.74441,9.07983,9.17765
94,8.44277,7.92905,7.92905,8.34600,8.54202
95,8.51726,8.51347,8.51347,8.87197,8.75806
96,8.59481,8.50802,11.10109,11.20083,11.09372
97,8.67545,8.93363,6.91346,7.43197,7.58032
98,8.75920,10.22484,8.24068,8.62647,8.53558
99,8.84608,8.46992,8.46992,8.83278,8.92987
100,8.93611,9.44447,9.44447,9.70987,9.73331
101,9.02930,8.12384,6.58116,7.13289,6.97988
102,9.12566,9.27630,11.18306,11.27461,11.33718
103,9.22520,8.39527,10.19241,10.38302,10.39107
104,9.32791,9.52090,9.52090,9.77867,9.86140
105,9.43381,8.85130,8.85130,9.17603,9.18431
106,9.54290,10.94745,10.94745,11.06256,10.88323
107,9.65515,9.55070,9.55070,9.80548,9.60572
108,9.77058,10.25591,10.25591,10.44017,10.52310
109,9.88916,9.80436,9.80436,10.03378,9.90946
110,10.01088,9.60740,9.60740,9.85651,9.91218
111,10.13573,10.28894,12.41032,12.37914,12.25598
112,10.26369,10.06436,12.46516,12.42850,12.49857
113,10.39472,10.47095,9.39227,9.66290,9.85724
114,10.52881,10.78766,10.78766,10.91875,10.99560
115,10.66592,11.36849,11.36849,11.44149,11.47894
116,10.80602,11.28950,11.28950,11.37040,11.45071
117,10.94907,11.35026,11.35026,11.42509,11.50271
118,11.09503,12.07683,12.07683,12.07900,12.02035
119,11.24386,11.14247,11.14247,11.23808,11.09039
