day2024,temp_warming,temp_warming_noise,temp_warming_noise_extreme,temp_warming_noise_extreme_inertia,temp_warming_noise_extreme_inertia_currents
1,8.05582,7.71391,7.71391,8.08657,8.01348
2,8.04191,6.84129,6.84129,7.30122,7.27936
3,8.02840,7.77545,7.77545,8.14196,8.07797
4,8.01526,7.85618,7.85618,8.21462,8.06389
5,8.00243,7.19597,7.19597,7.62043,7.64258
6,7.98988,7.24389,7.24389,7.66356,7.67233
7,7.97756,6.67570,6.67570,7.15218,7.14707
8,7.96543,8.03230,10.36092,10.46888,10.28072
9,7.95346,7.21988,9.70705,9.88040,9.98916
10,7.94160,7.38989,5.23378,5.85445,5.77833
11,7.92983,7.34012,7.34012,7.75016,7.59005
12,7.91812,7.42707,7.42707,7.82842,7.68456
13,7.90642,7.36493,7.36493,7.77249,7.84216
14,7.89473,7.79545,7.79545,8.15996,8.29775
15,7.88300,8.27071,8.27071,8.58769,8.69842
16,7.87122,6.65569,6.65569,7.13418,7.16759
17,7.85937,7.62178,7.62178,8.00366,7.97642
18,7.84742,7.33627,7.33627,7.74670,7.75443
19,7.83536,8.29783,8.29783,8.61211,8.57494
20,7.82318,7.68594,7.68594,8.06140,8.13378
21,7.81086,7.74325,7.74325,8.11298,8.11200
22,7.79840,6.65316,8.16912,8.49626,8.58180
23,7.78578,7.23860,4.57688,5.26325,5.32239
24,7.77300,7.82707,5.51841,6.11062,6.28490
25,7.76006,8.07245,8.07245,8.40926,8.54517
26,7.74696,6.40316,6.40316,6.90690,6.78175
27,7.73371,7.40787,7.40787,7.81114,7.90236
28,7.72029,7.42253,7.42253,7.82433,7.75882
29,7.70673,7.05776,7.05776,7.49604,7.36829
30,7.69304,7.03572,7.03572,7.47620,7.66374
31,7.67921,7.24285,7.24285,7.66262,7.50939
32,7.66528,7.95585,7.95585,8.30432,8.10509
33,7.65125,7.77922,7.77922,8.14535,8.23370
34,7.63715,6.90138,6.90138,7.35530,7.36016
35,7.62299,7.45531,7.45531,7.85384,7.76317
36,7.60881,7.37709,7.37709,7.78344,7.84704
37,7.59461,6.07751,6.07751,6.61382,6.42850
38,7.58044,7.22275,7.22275,7.64453,7.50843
39,7.56633,7.19358,7.19358,7.61827,7.53345
40,7.55230,6.72595,6.72595,7.19741,7.11002
41,7.53840,7.14425,7.14425,7.57388,7.49884
42,7.52465,6.63915,6.63915,7.11929,7.04730
43,7.51110,7.28295,7.28295,7.69871,7.60139
44,7.49778,8.09100,8.09100,8.42596,8.39938
45,7.48475,6.21432,8.65167,8.93056,9.08053
46,7.47204,7.34428,8.72854,8.99974,9.06171
47,7.45970,6.55635,4.66390,5.34156,5.48838
48,7.44778,6.62011,6.62011,7.10215,7.28710
49,7.43633,7.12105,7.12105,7.55300,7.51705
50,7.42540,6.96139,6.96139,7.40931,7.42981
