day2024,temp_warming,temp_warming_noise,temp_warming_noise_extreme,temp_warming_noise_extreme_inertia,temp_warming_noise_extreme_inertia_currents
1,8.12242,8.52233,8.52233,8.86164,8.73379
2,8.10851,8.12136,8.12136,8.50076,8.68935
3,8.09500,8.73167,8.73167,9.05004,9.11445
4,8.08186,8.15777,8.15777,8.53353,8.66958
5,8.06903,7.99250,7.99250,8.38479,8.29761
6,8.05648,8.10163,8.10163,8.48300,8.33623
7,8.04416,7.95594,7.95594,8.35188,8.52814
8,8.03203,8.59440,8.59440,8.92649,8.86446
9,8.02006,7.98029,7.98029,8.37380,8.19357
10,8.00820,7.96307,7.96307,8.35829,8.16795
11,7.99643,8.28246,8.28246,8.64575,8.60777
12,7.98472,7.98408,7.98408,8.37720,8.52158
13,7.97302,8.29817,8.29817,8.65989,8.82982
14,7.96133,8.20280,8.20280,8.57405,8.60043
15,7.94960,8.58735,8.58735,8.92015,9.00897
16,7.93782,7.80301,7.80301,8.21424,8.11779
17,7.92597,8.39983,8.39983,8.75138,8.74645
18,7.91402,8.03173,8.03173,8.42009,8.45432
19,7.90196,8.39290,8.39290,8.74515,8.80419
20,7.88978,7.95518,7.95518,8.35120,8.26409
21,7.87746,7.28873,7.28873,7.75139,7.65681
22,7.86500,7.46895,7.46895,7.91359,7.87596
23,7.85238,8.39704,8.39704,8.74887,8.60788
24,7.83960,8.06255,8.06255,8.44783,8.62764
25,7.82666,7.97274,7.97274,8.36700,8.22996
26,7.81356,7.64140,5.67928,6.30288,6.14650
27,7.80031,7.54213,4.59584,5.32779,5.17766
28,7.78689,8.14022,7.13656,7.61444,7.65728
29,7.77333,7.95541,7.95541,8.35140,8.28854
30,7.75964,7.88002,7.88002,8.28355,8.29128
31,7.74581,7.80702,7.80702,8.21785,8.23584
32,7.73188,7.53370,5.57493,6.20897,6.10478
33,7.71785,8.83205,10.85631,10.96221,11.13035
34,7.70375,6.63640,9.03360,9.32177,9.34823
35,7.68959,8.24487,8.24487,8.61191,8.61799
36,7.67541,7.12947,7.12947,7.60806,7.75491
37,7.66121,8.23984,8.23984,8.60739,8.80136
38,7.64704,8.70663,8.70663,9.02750,8.83811
39,7.63293,7.68951,7.68951,8.11209,8.26995
40,7.61890,7.50992,7.50992,7.95046,7.97260
41,7.60500,7.86428,7.86428,8.26938,8.20805
42,7.59125,8.30622,8.30622,8.66713,8.84828
43,7.57770,7.39444,7.39444,7.84653,7.72643
44,7.56438,7.86571,7.86571,8.27067,8.21117
45,7.55135,7.37011,7.37011,7.82464,7.93867
46,7.53864,8.03284,8.03284,8.42109,8.38890
47,7.52630,7.92901,7.92901,8.32764,8.39904
48,7.51438,7.78921,7.78921,8.20182,8.30041
49,7.50293,8.24377,11.17096,11.24539,11.05802
50,7.49200,7.18727,4.62124,5.35065,5.42300
51,7.48165,7.82433,6.72905,7.24768,7.44696
52,7.47192,7.48693,5.81894,6.42858,6.52118
