day2050,temp_warming,temp_warming_noise,temp_warming_noise_extreme,temp_warming_noise_extreme_inertia,temp_warming_noise_extreme_inertia_currents
1,9.35582,9.69184,9.69184,9.90973,9.88254
2,9.34191,9.39848,9.39848,9.64570,9.56377
3,9.32840,9.90401,9.90401,10.10068,10.25208
4,9.31526,9.37682,9.37682,9.62621,9.47724
5,9.30243,9.25976,6.95167,7.44357,7.49180
6,9.28988,9.38520,11.94683,11.93922,11.85931
7,9.27756,8.91034,6.88236,7.38119,7.57778
8,9.26543,9.67018,9.67018,9.89023,9.96917
9,9.25346,9.24216,9.24216,9.50502,9.69722
10,9.24160,9.83276,9.83276,10.03656,10.06425
11,9.22983,9.06750,9.06750,9.34782,9.15216
12,9.21812,9.72696,9.72696,9.94134,9.85731
13,9.20642,9.53395,9.53395,9.76762,9.85808
14,9.19473,9.86353,9.86353,10.06424,9.97858
15,9.18300,8.84707,8.84707,9.14943,8.95467
16,9.17122,10.08483,10.08483,10.26342,10.12522
17,9.15937,9.18994,9.18994,9.45802,9.39587
18,9.14742,9.36865,9.36865,9.61886,9.64097
19,9.13536,9.20996,9.20996,9.47603,9.28505
20,9.12318,8.97542,8.97542,9.26495,9.33374
21,9.11086,9.62341,9.62341,9.84814,9.76412
22,9.09840,9.86783,11.79864,11.80585,11.88523
23,9.08578,9.20712,7.31543,7.77096,7.60216
24,9.07300,8.79713,7.53962,7.97273,8.08116
25,9.06006,9.74878,9.74878,9.96097,9.93847
26,9.04696,8.57618,8.57618,8.90563,8.79675
27,9.03371,9.08378,9.08378,9.36248,9.52131
28,9.02029,9.28601,9.28601,9.54448,9.65378
29,9.00673,9.82687,9.82687,10.03125,9.95220
30,8.99304,8.82443,8.82443,9.12906,9.27427
31,8.97921,9.70779,9.70779,9.92408,9.89658
32,8.96528,9.11957,9.11957,9.39469,9.21279
33,8.95125,9.09053,9.09053,9.36854,9.24186
34,8.93715,8.73909,8.73909,9.05225,8.98384
35,8.92299,8.59472,8.59472,8.92231,8.82799
36,8.90881,8.94879,6.01526,6.60080,6.69694
37,8.89461,9.30162,10.66070,10.78170,10.92358
38,8.88044,8.91325,10.93440,11.02803,11.21026
39,8.86633,9.77710,9.77710,9.98646,9.85059
40,8.85230,9.10156,9.10156,9.37848,9.39206
41,8.83840,8.49617,8.49617,8.83362,8.96947
42,8.82465,8.67952,8.67952,8.99864,9.17926
43,8.81110,8.51709,8.51709,8.85245,8.84083
44,8.79778,8.64031,8.64031,8.96335,8.76397
45,8.78475,7.40823,7.40823,7.85447,7.66512
46,8.77204,8.46978,8.46978,8.80987,8.88296
47,8.75970,8.91863,8.91863,9.21384,9.06466
48,8.74778,8.99400,8.99400,9.28167,9.18814
49,8.73633,8.78494,8.78494,9.09352,9.28697
50,8.72540,8.98267,8.98267,9.27147,9.18938
51,8.71505,8.56131,8.56131,8.89225,8.97058
52,8.70532,8.77756,8.77756,9.08687,9.27973
53,8.69627,8.61956,8.61956,8.94467,8.99262
54,8.68796,8.88793,8.88793,9.18621,9.37862
55,8.68045,8.81752,8.81752,9.12284,8.93449
56,8.67379,9.15334,9.15334,9.42507,9.62102
57,8.66806,8.96257,8.96257,9.25339,9.36685
58,8.66330,8.85422,8.85422,9.15586,9.02210
59,8.65958,9.22873,9.22873,9.49292,9.38436
60,8.65696,9.15077,9.15077,9.42276,9.54760
61,8.65552,9.40991,9.40991,9.65599,9.47188
62,8.65530,8.07086,8.07086,8.45085,8.37586
63,8.65638,8.04896,8.04896,8.43113,8.32522
64,8.65882,8.65350,8.65350,8.97522,9.08520
65,8.66268,8.46855,8.46855,8.80877,8.63743
66,8.66804,9.03613,9.03613,9.31959,9.26322
67,8.67495,8.32845,8.32845,8.68268,8.50041
68,8.68349,9.05528,9.05528,9.33682,9.43839
69,8.69371,9.08495,9.08495,9.36353,9.44717
70,8.70569,8.76406,8.76406,9.07473,9.18443
71,8.71949,9.00827,9.00827,9.29451,9.31273
72,8.73517,8.39155,8.39155,8.73947,8.75749
73,8.75280,8.82920,8.82920,9.13335,9.16539
74,8.77244,9.16102,9.16102,9.43199,9.32904
75,8.79416,8.39422,8.39422,8.74187,8.93680
76,8.81801,8.82418,8.82418,9.12883,9.27325
77,8.84406,8.80540,8.80540,9.11193,9.06738
78,8.87237,8.74221,8.74221,9.05506,9.24418
79,8.90299,9.06638,9.06638,9.34681,9.17362
80,8.93599,8.81609,8.81609,9.12155,9.30246
81,8.97142,8.75498,8.75498,9.06655,9.19323
82,9.00934,9.57698,9.57698,9.80635,9.85873
83,9.04980,8.76320,8.76320,9.07395,9.13228
84,9.09285,9.38329,9.38329,9.63203,9.77319
85,9.13854,8.67309,8.67309,8.99285,8.81361
86,9.18693,8.90603,8.90603,9.20249,9.36232
87,9.23806,9.41058,6.43909,6.98225,7.13360
88,9.29197,9.97136,12.81316,12.71891,12.67000
89,9.34871,9.99523,8.13534,8.50887,8.40012
90,9.40832,9.56928,9.56928,9.79943,9.69723
91,9.47083,9.49961,9.49961,9.73671,9.69716
92,9.53629,10.14380,10.14380,10.31649,10.33260
93,9.60473,10.61627,10.61627,10.74172,10.81826
94,9.67617,10.46531,10.46531,10.60585,10.77734
95,9.75066,10.58803,10.58803,10.71629,10.59253
96,9.82821,10.33283,10.33283,10.48661,10.46036
97,9.90885,10.14060,10.14060,10.31361,10.36898
98,9.99260,10.30404,10.30404,10.46071,10.29795
99,10.07948,10.39026,10.39026,10.53830,10.64893
100,10.16951,10.66729,10.66729,10.78763,10.59189
101,10.26270,10.41573,10.41573,10.56123,10.62779
102,10.35906,10.48168,10.48168,10.62058,10.64284
103,10.45860,11.46876,11.46876,11.50895,11.68399
104,10.56131,11.49529,11.49529,11.53283,11.69546
105,10.66721,10.36555,10.36555,10.51607,10.49105
106,10.77630,11.15976,11.15976,11.23085,11.29916
107,10.88855,10.46749,10.46749,10.60781,10.50763
108,11.00398,11.14275,11.14275,11.21554,11.33329
109,11.12256,11.78815,11.78815,11.79640,11.81634
110,11.24428,10.60443,10.60443,10.73105,10.72391
111,11.36913,12.09884,12.09884,12.07603,11.98389
112,11.49709,11.69298,11.69298,11.71075,11.64910
113,11.62812,11.43339,14.92205,14.61691,14.70738
114,11.76221,11.57218,15.78523,15.39378,15.45162
115,11.89932,11.15898,14.85047,14.55249,14.36426
116,12.03942,12.72777,9.68786,9.90614,9.90816
117,12.18247,12.33232,12.33232,12.28615,12.27760
118,12.32843,13.36721,10.54794,10.68021,10.73468
119,12.47726,12.49709,9.96983,10.15991,10.10684
120,12.62892,12.28290,11.12616,11.20061,11.05417
121,12.78334,12.43453,12.43453,12.37815,12.19192
122,12.94049,12.46607,12.46607,12.40654,12.35643
123,13.10029,13.50936,13.50936,13.34549,13.26487
124,13.26270,13.11773,13.11773,12.99303,13.17194
125,13.42765,13.94020,13.94020,13.73325,13.63842
126,13.59507,14.00719,11.38532,11.43385,11.23446
127,13.76490,14.56165,15.89863,15.49584,15.35577
128,13.93707,14.53779,11.62996,11.65403,11.52922
129,14.11150,13.56977,13.56977,13.39987,13.57477
130,14.28811,14.30803,16.39980,15.94689,15.90472
131,14.46682,14.38520,12.59898,12.52615,12.43767
132,14.64756,15.34060,16.52383,16.05852,15.98002
133,14.83023,14.74395,14.74395,14.45663,14.33820
134,15.01474,13.93945,13.93945,13.73258,13.91915
135,15.20101,15.18236,15.18236,14.85120,14.88730
136,15.38894,15.59089,15.59089,15.21888,15.22915
137,15.57844,15.88469,15.88469,15.48329,15.36144
138,15.76941,16.48579,13.66311,13.48386,13.53320
139,15.96174,16.52614,15.10584,14.78232,14.95050
140,16.15534,17.09376,15.10691,14.78329,14.70491
141,16.35010,16.49809,16.49809,16.03535,16.09333
142,16.54591,16.71097,16.71097,16.22695,16.26677
143,16.74267,16.51643,16.51643,16.05186,15.96143
144,16.94026,16.98871,16.98871,16.47691,16.51355
145,17.13857,16.04982,14.97193,14.66181,14.53643
146,17.33749,18.24214,15.86283,15.46361,15.60296
147,17.53690,17.25859,15.11976,14.79485,14.80013
148,17.73669,17.98517,17.98517,17.37372,17.38375
149,17.93673,18.67603,18.67603,17.99550,17.87913
150,18.13691,17.76283,17.76283,17.17362,17.22074
151,18.33710,18.68426,18.68426,18.00290,17.93474
152,18.53719,17.82199,17.82199,17.22686,17.28517
153,18.73705,19.42395,19.42395,18.66863,18.83014
154,18.93655,19.40509,19.40509,18.65165,18.61974
155,19.13558,18.67465,16.29515,15.85270,15.96187
156,19.33401,19.27716,16.53809,16.07135,15.94552
157,19.53171,19.08163,18.00515,17.39170,17.38564
158,19.72856,20.38521,20.38521,19.53376,19.53300
159,19.92443,20.12192,20.12192,19.29680,19.47239
160,20.11919,20.16962,20.16962,19.33973,19.20610
161,20.31272,20.99789,20.99789,20.08518,20.17725
162,20.50490,21.46207,21.46207,20.50293,20.59047
163,20.69559,21.08803,21.08803,20.16630,20.35516
164,20.88468,21.48620,18.59662,17.92403,17.76577
165,21.07203,20.65130,22.53481,21.46840,21.60286
166,21.25753,21.41757,23.68690,22.50528,22.48083
167,21.44105,21.15862,21.15862,20.22983,20.24278
168,21.62246,21.85886,21.85886,20.86004,21.04425
169,21.80165,22.50505,22.50505,21.44161,21.40573
170,21.97849,21.67988,21.67988,20.69896,20.67491
171,22.15287,22.56764,22.56764,21.49795,21.39706
172,22.32466,23.37843,23.37843,22.22765,22.08238
173,22.49375,23.00786,23.00786,21.89414,21.74552
174,22.66003,22.25866,22.25866,21.21987,21.04098
175,22.82338,23.17536,23.17536,22.04489,21.93679
176,22.98368,23.71245,23.71245,22.52828,22.40674
177,23.14084,24.19382,24.19382,22.96151,22.93788
178,23.29473,23.71550,23.71550,22.53102,22.49911
179,23.44526,24.39571,24.39571,23.14321,23.28331
180,23.59232,23.91471,23.91471,22.71031,22.53109
181,23.73580,24.25265,24.25265,23.01446,23.04247
182,23.87562,23.61006,23.61006,22.43613,22.24824
183,24.01167,23.80282,23.80282,22.60961,22.75698
184,24.14386,24.72147,24.72147,23.43640,23.54582
185,24.27209,24.10023,24.10023,22.87728,22.70788
186,24.39628,24.29218,24.29218,23.05003,23.04744
187,24.51634,25.16739,25.16739,23.83772,23.73351
188,24.63219,25.28620,24.18207,22.95094,22.99342
189,24.74375,25.21833,26.83315,25.33691,25.21008
