"`id`","`date`","`deep`","`temperature`","`date_maj`"
"2","01/03/2018 03:00","0.2","2.106","2021-02-25 21:54:43"
"3","01/03/2018 06:00","0.2","2.093","2021-02-25 21:54:45"
"4","01/03/2018 09:00","0.2","2.128","2021-02-25 21:54:47"
"5","01/03/2018 12:00","0.2","2.219","2021-02-25 21:54:48"
"6","01/03/2018 15:00","0.2","2.302","2021-02-25 21:54:51"
"7","01/03/2018 18:00","0.2","2.341","2021-02-25 21:54:52"
"8","01/03/2018 21:00","0.2","2.36","2021-02-25 21:54:54"
"9","02/03/2018 00:00","0.2","2.339","2021-02-25 21:54:56"
"10","02/03/2018 03:00","0.2","2.301","2021-02-25 21:54:58"
"11","02/03/2018 06:00","0.2","2.281","2021-02-25 21:55:00"
"12","02/03/2018 09:00","0.2","2.304","2021-02-25 21:55:02"
"13","02/03/2018 12:00","0.2","2.421","2021-02-25 21:55:04"
"14","02/03/2018 15:00","0.2","2.546","2021-02-25 21:55:06"
"15","02/03/2018 18:00","0.2","2.573","2021-02-25 21:55:08"
"16","02/03/2018 21:00","0.2","2.551","2021-02-25 21:55:09"
"17","03/03/2018 00:00","0.2","2.541","2021-02-25 21:55:11"
"18","03/03/2018 03:00","0.2","2.518","2021-02-25 21:55:13"
"19","03/03/2018 06:00","0.2","2.493","2021-02-25 21:55:15"
"20","03/03/2018 09:00","0.2","2.499","2021-02-25 21:55:17"
"21","03/03/2018 12:00","0.2","2.557","2021-02-25 21:55:19"
"22","03/03/2018 15:00","0.2","2.653","2021-02-25 21:55:21"
"23","03/03/2018 18:00","0.2","2.692","2021-02-25 21:55:22"
"24","03/03/2018 21:00","0.2","2.675","2021-02-25 21:55:25"
"25","04/03/2018 00:00","0.2","2.511","2021-02-25 21:55:26"
"26","04/03/2018 03:00","0.2","2.416","2021-02-25 21:55:28"
"27","04/03/2018 06:00","0.2","2.442","2021-02-25 21:55:30"
"28","04/03/2018 09:00","0.2","2.459","2021-02-25 21:55:32"
"29","04/03/2018 12:00","0.2","2.694","2021-02-25 21:55:34"
"30","04/03/2018 15:00","0.2","2.782","2021-02-25 21:55:36"
"31","04/03/2018 18:00","0.2","2.768","2021-02-25 21:55:37"
"32","04/03/2018 21:00","0.2","2.753","2021-02-25 21:55:40"
"33","05/03/2018 03:00","0.2","2.821","2021-02-25 21:55:43"
"34","05/03/2018 06:00","0.2","2.811","2021-02-25 21:55:45"
"35","05/03/2018 09:00","0.2","2.817","2021-02-25 21:55:47"
"36","05/03/2018 12:00","0.2","3.016","2021-02-25 21:55:49"
"37","05/03/2018 15:00","0.2","3.243","2021-02-25 21:55:51"
"38","05/03/2018 18:00","0.2","3.239","2021-02-25 21:55:53"
"39","05/03/2018 21:00","0.2","3.18","2021-02-25 21:55:55"
"40","06/03/2018 00:00","0.2","3.143","2021-02-25 21:55:56"
"41","06/03/2018 03:00","0.2","3.114","2021-02-25 21:55:58"
"42","06/03/2018 06:00","0.2","3.096","2021-02-25 21:56:00"
"43","06/03/2018 09:00","0.2","3.102","2021-02-25 21:56:02"
"44","06/03/2018 12:00","0.2","3.161","2021-02-25 21:56:04"
"45","06/03/2018 15:00","0.2","3.21","2021-02-25 21:56:06"
