"`id`","`date`","`deep`","`temperature`","`date_maj`"
"1","01/03/2018 00:00","0.2","5.212","2021-02-25 02:24:13"
"2","01/03/2018 03:00","0.2","4.66","2021-02-26 16:15:07"
"3","01/03/2018 06:00","0.2","4.657","2021-02-26 16:15:08"
"4","01/03/2018 09:00","0.2","4.659","2021-02-26 16:15:09"
"5","01/03/2018 12:00","0.2","4.693","2021-02-26 16:15:10"
"6","01/03/2018 15:00","0.2","4.735","2021-02-26 16:15:11"
"7","01/03/2018 18:00","0.2","4.756","2021-02-26 16:15:12"
"8","01/03/2018 21:00","0.2","4.764","2021-02-26 16:15:12"
"9","02/03/2018 00:00","0.2","4.759","2021-02-26 16:15:13"
"10","02/03/2018 03:00","0.2","4.751","2021-02-26 16:15:14"
"11","02/03/2018 06:00","0.2","4.739","2021-02-26 16:15:15"
"12","02/03/2018 09:00","0.2","4.771","2021-02-26 16:15:16"
"13","02/03/2018 12:00","0.2","4.824","2021-02-26 16:15:17"
"14","02/03/2018 15:00","0.2","4.915","2021-02-26 16:15:18"
"15","02/03/2018 18:00","0.2","4.903","2021-02-26 16:15:21"
"16","02/03/2018 21:00","0.2","4.879","2021-02-26 16:15:22"
"17","03/03/2018 00:00","0.2","4.89","2021-02-26 16:15:23"
"18","03/03/2018 03:00","0.2","4.87","2021-02-26 16:15:24"
"19","03/03/2018 06:00","0.2","4.854","2021-02-26 16:15:25"
"20","03/03/2018 09:00","0.2","4.852","2021-02-26 16:15:25"
"21","03/03/2018 12:00","0.2","4.881","2021-02-26 16:15:27"
"22","03/03/2018 15:00","0.2","4.915","2021-02-26 16:15:27"
"23","03/03/2018 18:00","0.2","4.928","2021-02-26 16:15:28"
"24","03/03/2018 21:00","0.2","4.929","2021-02-26 16:15:29"
"25","04/03/2018 00:00","0.2","4.834","2021-02-26 16:15:30"
"26","04/03/2018 03:00","0.2","4.84","2021-02-26 16:15:31"
"27","04/03/2018 06:00","0.2","4.807","2021-02-26 16:15:32"
"28","04/03/2018 09:00","0.2","4.807","2021-02-26 16:15:33"
"29","04/03/2018 12:00","0.2","4.851","2021-02-26 16:15:34"
"30","04/03/2018 15:00","0.2","4.858","2021-02-26 16:15:35"
"31","04/03/2018 18:00","0.2","4.85","2021-02-26 16:15:36"
"32","04/03/2018 21:00","0.2","4.861","2021-02-26 16:15:37"
"33","05/03/2018 03:00","0.2","4.953","2021-02-26 16:15:39"
"34","05/03/2018 06:00","0.2","4.964","2021-02-26 16:15:40"
"35","05/03/2018 09:00","0.2","4.995","2021-02-26 16:15:41"
"36","05/03/2018 12:00","0.2","5.108","2021-02-26 16:15:42"
"37","05/03/2018 15:00","0.2","5.189","2021-02-26 16:15:43"
"38","05/03/2018 18:00","0.2","5.182","2021-02-26 16:15:44"
"39","05/03/2018 21:00","0.2","5.184","2021-02-26 16:15:45"
"40","06/03/2018 00:00","0.2","5.198","2021-02-26 16:15:46"
"41","06/03/2018 03:00","0.2","5.207","2021-02-26 16:15:47"
"42","06/03/2018 06:00","0.2","5.211","2021-02-26 16:15:48"
"43","06/03/2018 09:00","0.2","5.233","2021-02-26 16:15:49"
"44","06/03/2018 12:00","0.2","5.268","2021-02-26 16:15:49"
"45","06/03/2018 15:00","0.2","5.287","2021-02-26 16:15:50"
"46","06/03/2018 18:00","0.2","5.276","2021-02-26 16:15:51"
"47","06/03/2018 21:00","0.2","5.266","2021-02-26 16:15:52"
"48","07/03/2018 00:00","0.2","5.266","2021-02-26 16:15:53"
"49","07/03/2018 03:00","0.2","5.274","2021-02-26 16:15:54"
"50","07/03/2018 06:00","0.2","5.279","2021-02-26 16:15:55"
"51","07/03/2018 09:00","0.2","5.295","2021-02-26 16:15:56"
"52","07/03/2018 12:00","0.2","5.386","2021-02-26 16:15:57"
"53","07/03/2018 15:00","0.2","5.392","2021-02-26 16:15:58"
"54","07/03/2018 18:00","0.2","5.371","2021-02-26 16:15:59"
"55","07/03/2018 21:00","0.2","5.353","2021-02-26 16:16:00"
"56","08/03/2018 00:00","0.2","5.348","2021-02-26 16:16:01"
"57","08/03/2018 03:00","0.2","5.342","2021-02-26 16:16:02"
"58","08/03/2018 06:00","0.2","5.328","2021-02-26 16:16:03"
"59","08/03/2018 09:00","0.2","5.357","2021-02-26 16:16:04"
"60","08/03/2018 12:00","0.2","5.46","2021-02-26 16:16:05"
"61","08/03/2018 15:00","0.2","5.573","2021-02-26 16:16:06"
"62","08/03/2018 18:00","0.2","5.581","2021-02-26 16:16:06"
"63","08/03/2018 21:00","0.2","5.495","2021-02-26 16:16:07"
"64","09/03/2018 00:00","0.2","5.438","2021-02-26 16:16:08"
"65","09/03/2018 03:00","0.2","5.405","2021-02-26 16:16:09"
"66","09/03/2018 06:00","0.2","5.388","2021-02-26 16:16:10"
"67","09/03/2018 09:00","0.2","5.41","2021-02-26 16:16:11"
"68","09/03/2018 12:00","0.2","5.503","2021-02-26 16:16:12"
"69","09/03/2018 15:00","0.2","5.642","2021-02-26 16:16:13"
"70","09/03/2018 18:00","0.2","5.668","2021-02-26 16:16:14"
"71","09/03/2018 21:00","0.2","5.526","2021-02-26 16:16:15"
"72","10/03/2018 00:00","0.2","5.489","2021-02-26 16:16:16"
"73","10/03/2018 03:00","0.2","5.456","2021-02-26 16:16:17"
"74","10/03/2018 06:00","0.2","5.438","2021-02-26 16:16:18"
"75","10/03/2018 09:00","0.2","5.445","2021-02-26 16:16:19"
"76","10/03/2018 12:00","0.2","5.457","2021-02-26 16:16:20"
"77","10/03/2018 15:00","0.2","5.48","2021-02-26 16:16:21"
"78","10/03/2018 18:00","0.2","5.496","2021-02-26 16:16:22"
"79","10/03/2018 21:00","0.2","5.5","2021-02-26 16:16:23"
"80","11/03/2018 00:00","0.2","5.444","2021-02-26 16:16:24"
"81","11/03/2018 03:00","0.2","5.492","2021-02-26 16:16:25"
"82","11/03/2018 06:00","0.2","5.512","2021-02-26 16:16:26"
"83","11/03/2018 09:00","0.2","5.547","2021-02-26 16:16:27"
"84","11/03/2018 12:00","0.2","5.586","2021-02-26 16:16:28"
"85","11/03/2018 15:00","0.2","5.631","2021-02-26 16:16:28"
"86","11/03/2018 18:00","0.2","5.635","2021-02-26 16:16:29"
"87","11/03/2018 21:00","0.2","5.621","2021-02-26 16:16:30"
"88","12/03/2018 03:00","0.2","5.576","2021-02-26 16:16:32"
"89","12/03/2018 06:00","0.2","5.571","2021-02-26 16:16:33"
"90","12/03/2018 09:00","0.2","5.598","2021-02-26 16:16:34"
"91","12/03/2018 12:00","0.2","5.638","2021-02-26 16:16:35"
"92","12/03/2018 15:00","0.2","5.661","2021-02-26 16:16:36"
"93","12/03/2018 18:00","0.2","5.642","2021-02-26 16:16:37"
"94","12/03/2018 21:00","0.2","5.613","2021-02-26 16:16:38"
"95","13/03/2018 00:00","0.2","5.572","2021-02-26 16:16:39"
"96","13/03/2018 03:00","0.2","5.535","2021-02-26 16:16:40"
"97","13/03/2018 06:00","0.2","5.51","2021-02-26 16:16:41"
"98","13/03/2018 09:00","0.2","5.509","2021-02-26 16:16:42"
"99","13/03/2018 12:00","0.2","5.535","2021-02-26 16:16:43"
"100","13/03/2018 15:00","0.2","5.542","2021-02-26 16:16:44"
"101","13/03/2018 18:00","0.2","5.519","2021-02-26 16:16:45"
"102","13/03/2018 21:00","0.2","5.499","2021-02-26 16:16:46"
"103","14/03/2018 00:00","0.2","5.488","2021-02-26 16:16:47"
"104","14/03/2018 03:00","0.2","5.474","2021-02-26 16:16:48"
"105","14/03/2018 06:00","0.2","5.462","2021-02-26 16:16:49"
"106","14/03/2018 09:00","0.2","5.491","2021-02-26 16:16:50"
"107","14/03/2018 12:00","0.2","5.597","2021-02-26 16:16:51"
