"`id`","`date`","`deep`","`temperature`","`date_maj`"
"1","01/03/2018 00:00","0.2","5.212","2021-02-25 02:25:29"
"2","01/03/2018 03:00","0.2","4.162","2021-02-26 09:30:02"
"3","01/03/2018 06:00","0.2","4.174","2021-02-26 09:30:03"
"4","01/03/2018 09:00","0.2","4.159","2021-02-26 09:30:04"
"5","01/03/2018 12:00","0.2","4.176","2021-02-26 09:30:05"
"6","01/03/2018 15:00","0.2","4.213","2021-02-26 09:30:05"
"7","01/03/2018 18:00","0.2","4.21","2021-02-26 09:30:06"
"8","01/03/2018 21:00","0.2","4.177","2021-02-26 09:30:07"
"9","02/03/2018 00:00","0.2","4.171","2021-02-26 09:30:08"
"10","02/03/2018 03:00","0.2","4.116","2021-02-26 09:30:09"
"11","02/03/2018 06:00","0.2","4.108","2021-02-26 09:30:10"
"12","02/03/2018 09:00","0.2","4.085","2021-02-26 09:30:11"
"13","02/03/2018 12:00","0.2","4.081","2021-02-26 09:30:12"
"14","02/03/2018 15:00","0.2","4.086","2021-02-26 09:30:13"
"15","02/03/2018 18:00","0.2","4.063","2021-02-26 09:30:14"
"16","02/03/2018 21:00","0.2","4.049","2021-02-26 09:30:15"
"17","03/03/2018 00:00","0.2","4.055","2021-02-26 09:30:16"
"18","03/03/2018 03:00","0.2","4.06","2021-02-26 09:30:16"
"19","03/03/2018 06:00","0.2","4.049","2021-02-26 09:30:17"
"20","03/03/2018 09:00","0.2","4.05","2021-02-26 09:30:18"
"21","03/03/2018 12:00","0.2","4.043","2021-02-26 09:30:19"
"22","03/03/2018 15:00","0.2","4.008","2021-02-26 09:30:20"
"23","03/03/2018 18:00","0.2","3.951","2021-02-26 09:30:21"
"24","03/03/2018 21:00","0.2","3.948","2021-02-26 09:30:22"
"25","04/03/2018 00:00","0.2","3.872","2021-02-26 09:30:23"
"26","04/03/2018 03:00","0.2","3.89","2021-02-26 09:30:23"
"27","04/03/2018 06:00","0.2","3.923","2021-02-26 09:30:25"
"28","04/03/2018 09:00","0.2","3.972","2021-02-26 09:30:25"
"29","04/03/2018 12:00","0.2","4.128","2021-02-26 09:30:26"
"30","04/03/2018 15:00","0.2","4.183","2021-02-26 09:30:27"
"31","04/03/2018 18:00","0.2","4.125","2021-02-26 09:30:28"
"32","04/03/2018 21:00","0.2","4.082","2021-02-26 09:30:29"
"33","05/03/2018 03:00","0.2","4.238","2021-02-26 09:30:31"
"34","05/03/2018 06:00","0.2","4.248","2021-02-26 09:30:32"
"35","05/03/2018 09:00","0.2","4.259","2021-02-26 09:30:33"
"36","05/03/2018 12:00","0.2","4.384","2021-02-26 09:30:34"
"37","05/03/2018 15:00","0.2","4.502","2021-02-26 09:30:35"
"38","05/03/2018 18:00","0.2","4.453","2021-02-26 09:30:36"
"39","05/03/2018 21:00","0.2","4.432","2021-02-26 09:30:37"
"40","06/03/2018 00:00","0.2","4.409","2021-02-26 09:30:37"
"41","06/03/2018 03:00","0.2","4.39","2021-02-26 09:30:38"
"42","06/03/2018 06:00","0.2","4.367","2021-02-26 09:30:39"
"43","06/03/2018 09:00","0.2","4.366","2021-02-26 09:30:40"
