"`id`","`date`","`deep`","`temperature`","`date_maj`"
"1","01/03/2018 00:00","0.2","4.921","2021-03-01 21:41:02"
"2","01/03/2018 03:00","0.2","4.611","2021-03-01 22:11:20"
"3","01/03/2018 06:00","0.2","4.612","2021-03-01 22:11:20"
"4","01/03/2018 09:00","0.2","4.621","2021-03-01 22:11:21"
"5","01/03/2018 12:00","0.2","4.668","2021-03-01 22:11:22"
"6","01/03/2018 15:00","0.2","4.695","2021-03-01 22:11:23"
"7","01/03/2018 18:00","0.2","4.689","2021-03-01 22:11:24"
"8","01/03/2018 21:00","0.2","4.644","2021-03-01 22:11:24"
"9","02/03/2018 00:00","0.2","4.617","2021-03-01 22:11:25"
"10","02/03/2018 03:00","0.2","4.622","2021-03-01 22:11:26"
"11","02/03/2018 06:00","0.2","4.609","2021-03-01 22:11:26"
"12","02/03/2018 09:00","0.2","4.616","2021-03-01 22:11:27"
"13","02/03/2018 12:00","0.2","4.611","2021-03-01 22:11:28"
"14","02/03/2018 15:00","0.2","4.654","2021-03-01 22:11:28"
"15","02/03/2018 18:00","0.2","4.651","2021-03-01 22:11:29"
"16","02/03/2018 21:00","0.2","4.62","2021-03-01 22:11:30"
"17","03/03/2018 00:00","0.2","4.629","2021-03-01 22:11:30"
"18","03/03/2018 03:00","0.2","4.643","2021-03-01 22:11:31"
"19","03/03/2018 06:00","0.2","4.63","2021-03-01 22:11:32"
"20","03/03/2018 09:00","0.2","4.637","2021-03-01 22:11:32"
"21","03/03/2018 12:00","0.2","4.658","2021-03-01 22:11:33"
"22","03/03/2018 15:00","0.2","4.675","2021-03-01 22:11:34"
"23","03/03/2018 18:00","0.2","4.669","2021-03-01 22:11:35"
"24","03/03/2018 21:00","0.2","4.657","2021-03-01 22:11:35"
"25","04/03/2018 00:00","0.2","4.551","2021-03-01 22:11:36"
"26","04/03/2018 03:00","0.2","4.596","2021-03-01 22:11:37"
"27","04/03/2018 06:00","0.2","4.585","2021-03-01 22:11:37"
"28","04/03/2018 09:00","0.2","4.616","2021-03-01 22:11:38"
"29","04/03/2018 12:00","0.2","4.721","2021-03-01 22:11:39"
"30","04/03/2018 15:00","0.2","4.791","2021-03-01 22:11:40"
"31","04/03/2018 18:00","0.2","4.736","2021-03-01 22:11:40"
"32","04/03/2018 21:00","0.2","4.701","2021-03-01 22:11:41"
"33","05/03/2018 03:00","0.2","4.714","2021-03-01 22:11:42"
"34","05/03/2018 06:00","0.2","4.717","2021-03-01 22:11:43"
"35","05/03/2018 09:00","0.2","4.746","2021-03-01 22:11:44"
"36","05/03/2018 12:00","0.2","4.83","2021-03-01 22:11:45"
"37","05/03/2018 15:00","0.2","4.937","2021-03-01 22:11:45"
"38","05/03/2018 18:00","0.2","4.955","2021-03-01 22:11:46"
"39","05/03/2018 21:00","0.2","4.931","2021-03-01 22:11:47"
"40","06/03/2018 00:00","0.2","4.902","2021-03-01 22:11:48"
"41","06/03/2018 03:00","0.2","4.901","2021-03-01 22:11:48"
"42","06/03/2018 06:00","0.2","4.922","2021-03-01 22:11:49"
"43","06/03/2018 09:00","0.2","4.973","2021-03-01 22:11:50"
"44","06/03/2018 12:00","0.2","5.017","2021-03-01 22:11:51"
"45","06/03/2018 15:00","0.2","5.051","2021-03-01 22:11:51"
"46","06/03/2018 18:00","0.2","5.075","2021-03-01 22:11:52"
"47","06/03/2018 21:00","0.2","5.084","2021-03-01 22:11:53"
"48","07/03/2018 00:00","0.2","5.09","2021-03-01 22:11:54"
"49","07/03/2018 03:00","0.2","5.092","2021-03-01 22:11:55"
"50","07/03/2018 06:00","0.2","5.095","2021-03-01 22:11:56"
"51","07/03/2018 09:00","0.2","5.112","2021-03-01 22:11:56"
"52","07/03/2018 12:00","0.2","5.178","2021-03-01 22:11:57"
"53","07/03/2018 15:00","0.2","5.187","2021-03-01 22:11:58"
"54","07/03/2018 18:00","0.2","5.16","2021-03-01 22:11:59"
"55","07/03/2018 21:00","0.2","5.14","2021-03-01 22:11:59"
"56","08/03/2018 00:00","0.2","5.133","2021-03-01 22:12:00"
"57","08/03/2018 03:00","0.2","5.121","2021-03-01 22:12:01"
"58","08/03/2018 06:00","0.2","5.105","2021-03-01 22:12:02"
"59","08/03/2018 09:00","0.2","5.126","2021-03-01 22:12:03"
"60","08/03/2018 12:00","0.2","5.262","2021-03-01 22:12:03"
"61","08/03/2018 15:00","0.2","5.381","2021-03-01 22:12:04"
"62","08/03/2018 18:00","0.2","5.382","2021-03-01 22:12:05"
"63","08/03/2018 21:00","0.2","5.28","2021-03-01 22:12:06"
"64","09/03/2018 00:00","0.2","5.222","2021-03-01 22:12:07"
"65","09/03/2018 03:00","0.2","5.194","2021-03-01 22:12:07"
"66","09/03/2018 06:00","0.2","5.187","2021-03-01 22:12:08"
"67","09/03/2018 09:00","0.2","5.201","2021-03-01 22:12:09"
"68","09/03/2018 12:00","0.2","5.26","2021-03-01 22:12:10"
"69","09/03/2018 15:00","0.2","5.323","2021-03-01 22:12:11"
"70","09/03/2018 18:00","0.2","5.34","2021-03-01 22:12:11"
"71","09/03/2018 21:00","0.2","5.304","2021-03-01 22:12:12"
"72","10/03/2018 00:00","0.2","5.291","2021-03-01 22:12:13"
"73","10/03/2018 03:00","0.2","5.272","2021-03-01 22:12:13"
"74","10/03/2018 06:00","0.2","5.258","2021-03-01 22:12:14"
"75","10/03/2018 09:00","0.2","5.261","2021-03-01 22:12:15"
"76","10/03/2018 12:00","0.2","5.269","2021-03-01 22:12:16"
"77","10/03/2018 15:00","0.2","5.294","2021-03-01 22:12:16"
"78","10/03/2018 18:00","0.2","5.296","2021-03-01 22:12:17"
"79","10/03/2018 21:00","0.2","5.278","2021-03-01 22:12:17"
"80","11/03/2018 00:00","0.2","5.18","2021-03-01 22:12:18"
"81","11/03/2018 03:00","0.2","5.214","2021-03-01 22:12:18"
"82","11/03/2018 06:00","0.2","5.223","2021-03-01 22:12:19"
"83","11/03/2018 09:00","0.2","5.241","2021-03-01 22:12:20"
"84","11/03/2018 12:00","0.2","5.28","2021-03-01 22:12:20"
"85","11/03/2018 15:00","0.2","5.328","2021-03-01 22:12:21"
"86","11/03/2018 18:00","0.2","5.315","2021-03-01 22:12:21"
"87","11/03/2018 21:00","0.2","5.294","2021-03-01 22:12:22"
"88","12/03/2018 03:00","0.2","5.284","2021-03-01 22:12:23"
"89","12/03/2018 06:00","0.2","5.294","2021-03-01 22:12:23"
"90","12/03/2018 09:00","0.2","5.317","2021-03-01 22:12:24"
"91","12/03/2018 12:00","0.2","5.356","2021-03-01 22:12:24"
"92","12/03/2018 15:00","0.2","5.364","2021-03-01 22:12:25"
"93","12/03/2018 18:00","0.2","5.352","2021-03-01 22:12:26"
"94","12/03/2018 21:00","0.2","5.341","2021-03-01 22:12:26"
"95","13/03/2018 00:00","0.2","5.32","2021-03-01 22:12:27"
"96","13/03/2018 03:00","0.2","5.295","2021-03-01 22:12:27"
"97","13/03/2018 06:00","0.2","5.26","2021-03-01 22:12:28"
"98","13/03/2018 09:00","0.2","5.242","2021-03-01 22:12:28"
"99","13/03/2018 12:00","0.2","5.256","2021-03-01 22:12:29"
"100","13/03/2018 15:00","0.2","5.26","2021-03-01 22:12:29"
"101","13/03/2018 18:00","0.2","5.226","2021-03-01 22:12:30"
"102","13/03/2018 21:00","0.2","5.205","2021-03-01 22:12:30"
"103","14/03/2018 00:00","0.2","5.183","2021-03-01 22:12:31"
"104","14/03/2018 03:00","0.2","5.164","2021-03-01 22:12:32"
"105","14/03/2018 06:00","0.2","5.15","2021-03-01 22:12:33"
"106","14/03/2018 09:00","0.2","5.19","2021-03-01 22:12:34"
"107","14/03/2018 12:00","0.2","5.298","2021-03-01 22:12:34"
"108","14/03/2018 15:00","0.2","5.419","2021-03-01 22:12:35"
"109","14/03/2018 18:00","0.2","5.419","2021-03-01 22:12:35"
"110","14/03/2018 21:00","0.2","5.391","2021-03-01 22:12:36"
"111","15/03/2018 00:00","0.2","5.366","2021-03-01 22:12:36"
"112","15/03/2018 03:00","0.2","5.351","2021-03-01 22:12:37"
"113","15/03/2018 06:00","0.2","5.317","2021-03-01 22:12:37"
"114","15/03/2018 09:00","0.2","5.323","2021-03-01 22:12:38"
"115","15/03/2018 12:00","0.2","5.373","2021-03-01 22:12:39"
"116","15/03/2018 15:00","0.2","5.371","2021-03-01 22:12:39"
"117","15/03/2018 18:00","0.2","5.315","2021-03-01 22:12:39"
"118","15/03/2018 21:00","0.2","5.28","2021-03-01 22:12:40"
"119","16/03/2018 00:00","0.2","5.264","2021-03-01 22:12:40"
"120","16/03/2018 03:00","0.2","5.263","2021-03-01 22:12:41"
"121","16/03/2018 06:00","0.2","5.26","2021-03-01 22:12:41"
"122","16/03/2018 09:00","0.2","5.287","2021-03-01 22:12:42"
"123","16/03/2018 12:00","0.2","5.416","2021-03-01 22:12:43"
"124","16/03/2018 15:00","0.2","5.521","2021-03-01 22:12:43"
"125","16/03/2018 18:00","0.2","5.534","2021-03-01 22:12:44"
"126","16/03/2018 21:00","0.2","5.52","2021-03-01 22:12:44"
"127","17/03/2018 00:00","0.2","5.504","2021-03-01 22:12:45"
"128","17/03/2018 03:00","0.2","5.505","2021-03-01 22:12:45"
"129","17/03/2018 06:00","0.2","5.505","2021-03-01 22:12:46"
"130","17/03/2018 09:00","0.2","5.522","2021-03-01 22:12:46"
"131","17/03/2018 12:00","0.2","5.559","2021-03-01 22:12:47"
"132","17/03/2018 15:00","0.2","5.553","2021-03-01 22:12:47"
"133","17/03/2018 18:00","0.2","5.511","2021-03-01 22:12:48"
"134","17/03/2018 21:00","0.2","5.478","2021-03-01 22:12:49"
"135","18/03/2018 00:00","0.2","5.375","2021-03-01 22:12:49"
"136","18/03/2018 03:00","0.2","5.388","2021-03-01 22:12:50"
"137","18/03/2018 06:00","0.2","5.369","2021-03-01 22:12:50"
"138","18/03/2018 09:00","0.2","5.394","2021-03-01 22:12:51"
"139","18/03/2018 12:00","0.2","5.467","2021-03-01 22:12:51"
"140","18/03/2018 15:00","0.2","5.572","2021-03-01 22:12:52"
"141","18/03/2018 18:00","0.2","5.59","2021-03-01 22:12:52"
"142","18/03/2018 21:00","0.2","5.536","2021-03-01 22:12:53"
"143","19/03/2018 03:00","0.2","5.455","2021-03-01 22:12:54"
"144","19/03/2018 06:00","0.2","5.453","2021-03-01 22:12:55"
"145","19/03/2018 09:00","0.2","5.465","2021-03-01 22:12:56"
"146","19/03/2018 12:00","0.2","5.562","2021-03-01 22:12:56"
"147","19/03/2018 15:00","0.2","5.593","2021-03-01 22:12:57"
"148","19/03/2018 18:00","0.2","5.569","2021-03-01 22:12:57"
"149","19/03/2018 21:00","0.2","5.521","2021-03-01 22:12:58"
"150","20/03/2018 00:00","0.2","5.475","2021-03-01 22:12:58"
"151","20/03/2018 03:00","0.2","5.433","2021-03-01 22:12:59"
"152","20/03/2018 06:00","0.2","5.376","2021-03-01 22:12:59"
"153","20/03/2018 09:00","0.2","5.368","2021-03-01 22:13:00"
"154","20/03/2018 12:00","0.2","5.424","2021-03-01 22:13:00"
"155","20/03/2018 15:00","0.2","5.449","2021-03-01 22:13:01"
"156","20/03/2018 18:00","0.2","5.415","2021-03-01 22:13:01"
"157","20/03/2018 21:00","0.2","5.375","2021-03-01 22:13:02"
"158","21/03/2018 00:00","0.2","5.331","2021-03-01 22:13:03"
"159","21/03/2018 03:00","0.2","5.306","2021-03-01 22:13:03"
"160","21/03/2018 06:00","0.2","5.27","2021-03-01 22:13:04"
"161","21/03/2018 09:00","0.2","5.271","2021-03-01 22:13:04"
"162","21/03/2018 12:00","0.2","5.338","2021-03-01 22:13:05"
"163","21/03/2018 15:00","0.2","5.382","2021-03-01 22:13:05"
"164","21/03/2018 18:00","0.2","5.351","2021-03-01 22:13:06"
"165","21/03/2018 21:00","0.2","5.304","2021-03-01 22:13:06"
"166","22/03/2018 00:00","0.2","5.252","2021-03-01 22:13:07"
"167","22/03/2018 03:00","0.2","5.215","2021-03-01 22:13:08"
"168","22/03/2018 06:00","0.2","5.201","2021-03-01 22:13:08"
"169","22/03/2018 09:00","0.2","5.218","2021-03-01 22:13:09"
"170","22/03/2018 12:00","0.2","5.345","2021-03-01 22:13:09"
"171","22/03/2018 15:00","0.2","5.418","2021-03-01 22:13:10"
"172","22/03/2018 18:00","0.2","5.371","2021-03-01 22:13:11"
"173","22/03/2018 21:00","0.2","5.347","2021-03-01 22:13:11"
"174","23/03/2018 00:00","0.2","5.335","2021-03-01 22:13:12"
"175","23/03/2018 03:00","0.2","5.322","2021-03-01 22:13:13"
"176","23/03/2018 06:00","0.2","5.32","2021-03-01 22:13:13"
"177","23/03/2018 09:00","0.2","5.35","2021-03-01 22:13:14"
"178","23/03/2018 12:00","0.2","5.506","2021-03-01 22:13:14"
"179","23/03/2018 15:00","0.2","5.604","2021-03-01 22:13:15"
"180","23/03/2018 18:00","0.2","5.625","2021-03-01 22:13:15"
"181","23/03/2018 21:00","0.2","5.485","2021-03-01 22:13:16"
"182","24/03/2018 00:00","0.2","5.414","2021-03-01 22:13:16"
"183","24/03/2018 03:00","0.2","5.371","2021-03-01 22:13:17"
"184","24/03/2018 06:00","0.2","5.333","2021-03-01 22:13:18"
"185","24/03/2018 09:00","0.2","5.397","2021-03-01 22:13:18"
"186","24/03/2018 12:00","0.2","5.596","2021-03-01 22:13:19"
"187","24/03/2018 15:00","0.2","5.827","2021-03-01 22:13:19"
"188","24/03/2018 18:00","0.2","5.87","2021-03-01 22:13:20"
"189","24/03/2018 21:00","0.2","5.836","2021-03-01 22:13:20"
"190","25/03/2018 00:00","0.2","5.684","2021-03-01 22:13:21"
"191","25/03/2018 03:00","0.2","5.618","2021-03-01 22:13:21"
"192","25/03/2018 06:00","0.2","5.518","2021-03-01 22:13:22"
