"`id`","`date`","`deep`","`temperature`","`date_maj`"
"2","01/03/2018 03:00","0.2","4.226","2021-02-25 22:29:23"
"3","01/03/2018 06:00","0.2","4.271","2021-02-25 22:29:25"
"4","01/03/2018 09:00","0.2","4.324","2021-02-25 22:29:28"
"5","01/03/2018 12:00","0.2","4.379","2021-02-25 22:29:30"
"6","01/03/2018 15:00","0.2","4.439","2021-02-25 22:29:33"
"7","01/03/2018 18:00","0.2","4.48","2021-02-25 22:29:36"
"8","01/03/2018 21:00","0.2","4.505","2021-02-25 22:29:39"
"9","02/03/2018 00:00","0.2","4.517","2021-02-25 22:29:42"
"10","02/03/2018 03:00","0.2","4.547","2021-02-25 22:29:45"
"11","02/03/2018 06:00","0.2","4.566","2021-02-25 22:29:47"
"12","02/03/2018 09:00","0.2","4.609","2021-02-25 22:29:50"
"13","02/03/2018 12:00","0.2","4.645","2021-02-25 22:29:53"
"14","02/03/2018 15:00","0.2","4.66","2021-02-25 22:29:56"
"15","02/03/2018 18:00","0.2","4.639","2021-02-25 22:29:59"
"16","02/03/2018 21:00","0.2","4.608","2021-02-25 22:30:01"
"17","03/03/2018 00:00","0.2","4.62","2021-02-25 22:30:05"
"18","03/03/2018 03:00","0.2","4.622","2021-02-25 22:30:08"
"19","03/03/2018 06:00","0.2","4.627","2021-02-25 22:30:11"
"20","03/03/2018 09:00","0.2","4.611","2021-02-25 22:30:14"
"21","03/03/2018 12:00","0.2","4.609","2021-02-25 22:30:17"
"22","03/03/2018 15:00","0.2","4.608","2021-02-25 22:30:21"
"23","03/03/2018 18:00","0.2","4.597","2021-02-25 22:30:25"
"24","03/03/2018 21:00","0.2","4.567","2021-02-25 22:30:28"
"25","04/03/2018 00:00","0.2","4.468","2021-02-25 22:30:32"
"26","04/03/2018 03:00","0.2","4.508","2021-02-25 22:30:35"
"27","04/03/2018 06:00","0.2","4.519","2021-02-25 22:30:39"
"28","04/03/2018 09:00","0.2","4.567","2021-02-25 22:30:42"
"29","04/03/2018 12:00","0.2","4.663","2021-02-25 22:30:46"
"30","04/03/2018 15:00","0.2","4.689","2021-02-25 22:30:50"
"31","04/03/2018 18:00","0.2","4.675","2021-02-25 22:30:53"
"32","04/03/2018 21:00","0.2","4.699","2021-02-25 22:30:57"
"33","05/03/2018 03:00","0.2","4.711","2021-02-25 22:31:04"
"34","05/03/2018 06:00","0.2","4.719","2021-02-25 22:31:07"
"35","05/03/2018 09:00","0.2","4.75","2021-02-25 22:31:11"
"36","05/03/2018 12:00","0.2","4.825","2021-02-25 22:31:14"
"37","05/03/2018 15:00","0.2","4.929","2021-02-25 22:31:18"
"38","05/03/2018 18:00","0.2","4.91","2021-02-25 22:31:21"
"39","05/03/2018 21:00","0.2","4.825","2021-02-25 22:31:25"
"40","06/03/2018 00:00","0.2","4.787","2021-02-25 22:31:28"
"41","06/03/2018 03:00","0.2","4.768","2021-02-25 22:31:32"
"42","06/03/2018 06:00","0.2","4.737","2021-02-25 22:31:35"
"43","06/03/2018 09:00","0.2","4.729","2021-02-25 22:31:39"
"44","06/03/2018 12:00","0.2","4.733","2021-02-25 22:31:43"
"45","06/03/2018 15:00","0.2","4.721","2021-02-25 22:31:46"
"46","06/03/2018 18:00","0.2","4.686","2021-02-25 22:31:50"
"47","06/03/2018 21:00","0.2","4.65","2021-02-25 22:31:53"
"48","07/03/2018 00:00","0.2","4.652","2021-02-25 22:31:57"
"49","07/03/2018 03:00","0.2","4.709","2021-02-25 22:32:00"
"50","07/03/2018 06:00","0.2","4.766","2021-02-25 22:32:04"
"51","07/03/2018 09:00","0.2","4.894","2021-02-25 22:32:07"
"52","07/03/2018 12:00","0.2","5.08","2021-02-25 22:32:11"
"53","07/03/2018 15:00","0.2","5.213","2021-02-25 22:32:14"
"54","07/03/2018 18:00","0.2","5.215","2021-02-25 22:32:18"
"55","07/03/2018 21:00","0.2","5.21","2021-02-25 22:32:21"
"56","08/03/2018 00:00","0.2","5.191","2021-02-25 22:32:25"
"57","08/03/2018 03:00","0.2","5.223","2021-02-25 22:32:28"
"58","08/03/2018 06:00","0.2","5.277","2021-02-25 22:32:32"
"59","08/03/2018 09:00","0.2","5.312","2021-02-25 22:32:35"
"60","08/03/2018 12:00","0.2","5.533","2021-02-25 22:32:39"
"61","08/03/2018 15:00","0.2","5.654","2021-02-25 22:32:42"
"62","08/03/2018 18:00","0.2","5.523","2021-02-25 22:32:45"
