"`id`","`date`","`deep`","`temperature`","`date_maj`"
"1","01/03/2018 00:00","0.2","4.921","2021-03-01 21:41:04"
"2","01/03/2018 03:00","0.2","3.547","2021-03-01 21:50:22"
"3","01/03/2018 06:00","0.2","3.506","2021-03-01 21:50:22"
"4","01/03/2018 09:00","0.2","3.519","2021-03-01 21:50:22"
"5","01/03/2018 12:00","0.2","3.518","2021-03-01 21:50:23"
"6","01/03/2018 15:00","0.2","3.552","2021-03-01 21:50:23"
"7","01/03/2018 18:00","0.2","3.554","2021-03-01 21:50:23"
"8","01/03/2018 21:00","0.2","3.541","2021-03-01 21:50:23"
"9","02/03/2018 00:00","0.2","3.509","2021-03-01 21:50:24"
"10","02/03/2018 03:00","0.2","3.464","2021-03-01 21:50:24"
"11","02/03/2018 06:00","0.2","3.451","2021-03-01 21:50:24"
"12","02/03/2018 09:00","0.2","3.447","2021-03-01 21:50:24"
"13","02/03/2018 12:00","0.2","3.502","2021-03-01 21:50:25"
"14","02/03/2018 15:00","0.2","3.554","2021-03-01 21:50:25"
"15","02/03/2018 18:00","0.2","3.547","2021-03-01 21:50:25"
"16","02/03/2018 21:00","0.2","3.514","2021-03-01 21:50:25"
"17","03/03/2018 00:00","0.2","3.521","2021-03-01 21:50:25"
"18","03/03/2018 03:00","0.2","3.499","2021-03-01 21:50:26"
"19","03/03/2018 06:00","0.2","3.482","2021-03-01 21:50:26"
"20","03/03/2018 09:00","0.2","3.465","2021-03-01 21:50:26"
"21","03/03/2018 12:00","0.2","3.499","2021-03-01 21:50:26"
"22","03/03/2018 15:00","0.2","3.535","2021-03-01 21:50:27"
"23","03/03/2018 18:00","0.2","3.54","2021-03-01 21:50:27"
"24","03/03/2018 21:00","0.2","3.53","2021-03-01 21:50:27"
"25","04/03/2018 00:00","0.2","3.422","2021-03-01 21:50:27"
"26","04/03/2018 03:00","0.2","3.389","2021-03-01 21:50:27"
"27","04/03/2018 06:00","0.2","3.397","2021-03-01 21:50:28"
"28","04/03/2018 09:00","0.2","3.421","2021-03-01 21:50:28"
"29","04/03/2018 12:00","0.2","3.503","2021-03-01 21:50:28"
"30","04/03/2018 15:00","0.2","3.537","2021-03-01 21:50:28"
"31","04/03/2018 18:00","0.2","3.542","2021-03-01 21:50:29"
"32","04/03/2018 21:00","0.2","3.546","2021-03-01 21:50:29"
"33","05/03/2018 03:00","0.2","3.564","2021-03-01 21:50:29"
"34","05/03/2018 06:00","0.2","3.558","2021-03-01 21:50:29"
"35","05/03/2018 09:00","0.2","3.549","2021-03-01 21:50:30"
"36","05/03/2018 12:00","0.2","3.639","2021-03-01 21:50:30"
"37","05/03/2018 15:00","0.2","3.722","2021-03-01 21:50:30"
"38","05/03/2018 18:00","0.2","3.734","2021-03-01 21:50:30"
"39","05/03/2018 21:00","0.2","3.716","2021-03-01 21:50:31"
"40","06/03/2018 00:00","0.2","3.681","2021-03-01 21:50:31"
"41","06/03/2018 03:00","0.2","3.654","2021-03-01 21:50:31"
"42","06/03/2018 06:00","0.2","3.63","2021-03-01 21:50:31"
"43","06/03/2018 09:00","0.2","3.628","2021-03-01 21:50:31"
"44","06/03/2018 12:00","0.2","3.656","2021-03-01 21:50:32"
"45","06/03/2018 15:00","0.2","3.661","2021-03-01 21:50:32"
"46","06/03/2018 18:00","0.2","3.648","2021-03-01 21:50:32"
"47","06/03/2018 21:00","0.2","3.643","2021-03-01 21:50:32"
