"`id`","`date`","`deep`","`temperature`","`date_maj`"
"1","01/03/2018 00:00","0.2","5.212","2021-02-25 02:28:16"
"2","01/03/2018 03:00","0.2","5.453","2021-02-26 10:30:04"
"3","01/03/2018 06:00","0.2","5.449","2021-02-26 10:30:05"
"4","01/03/2018 09:00","0.2","5.463","2021-02-26 10:30:05"
"5","01/03/2018 12:00","0.2","5.475","2021-02-26 10:30:06"
"6","01/03/2018 15:00","0.2","5.485","2021-02-26 10:30:07"
"7","01/03/2018 18:00","0.2","5.462","2021-02-26 10:30:08"
"8","01/03/2018 21:00","0.2","5.446","2021-02-26 10:30:09"
"9","02/03/2018 00:00","0.2","5.42","2021-02-26 10:30:10"
"10","02/03/2018 03:00","0.2","5.398","2021-02-26 10:30:11"
"11","02/03/2018 06:00","0.2","5.428","2021-02-26 10:30:12"
"12","02/03/2018 09:00","0.2","5.41","2021-02-26 10:30:13"
"13","02/03/2018 12:00","0.2","5.444","2021-02-26 10:30:13"
"14","02/03/2018 15:00","0.2","5.457","2021-02-26 10:30:14"
"15","02/03/2018 18:00","0.2","5.446","2021-02-26 10:30:15"
"16","02/03/2018 21:00","0.2","5.414","2021-02-26 10:30:16"
"17","03/03/2018 00:00","0.2","5.434","2021-02-26 10:30:17"
"18","03/03/2018 03:00","0.2","5.434","2021-02-26 10:30:18"
"19","03/03/2018 06:00","0.2","5.425","2021-02-26 10:30:19"
"20","03/03/2018 09:00","0.2","5.429","2021-02-26 10:30:20"
"21","03/03/2018 12:00","0.2","5.447","2021-02-26 10:30:21"
"22","03/03/2018 15:00","0.2","5.441","2021-02-26 10:30:22"
"23","03/03/2018 18:00","0.2","5.428","2021-02-26 10:30:22"
"24","03/03/2018 21:00","0.2","5.431","2021-02-26 10:30:23"
"25","04/03/2018 00:00","0.2","5.35","2021-02-26 10:30:24"
"26","04/03/2018 03:00","0.2","5.382","2021-02-26 10:30:25"
"27","04/03/2018 06:00","0.2","5.376","2021-02-26 10:30:26"
"28","04/03/2018 09:00","0.2","5.4","2021-02-26 10:30:27"
"29","04/03/2018 12:00","0.2","5.479","2021-02-26 10:30:28"
"30","04/03/2018 15:00","0.2","5.514","2021-02-26 10:30:29"
"31","04/03/2018 18:00","0.2","5.475","2021-02-26 10:30:29"
"32","04/03/2018 21:00","0.2","5.449","2021-02-26 10:30:30"
"33","05/03/2018 03:00","0.2","5.467","2021-02-26 10:30:32"
"34","05/03/2018 06:00","0.2","5.452","2021-02-26 10:30:33"
"35","05/03/2018 09:00","0.2","5.485","2021-02-26 10:30:34"
"36","05/03/2018 12:00","0.2","5.556","2021-02-26 10:30:35"
"37","05/03/2018 15:00","0.2","5.705","2021-02-26 10:30:36"
"38","05/03/2018 18:00","0.2","5.729","2021-02-26 10:30:37"
"39","05/03/2018 21:00","0.2","5.668","2021-02-26 10:30:38"
"40","06/03/2018 00:00","0.2","5.636","2021-02-26 10:30:38"
"41","06/03/2018 03:00","0.2","5.593","2021-02-26 10:30:39"
"42","06/03/2018 06:00","0.2","5.558","2021-02-26 10:30:40"
"43","06/03/2018 09:00","0.2","5.573","2021-02-26 10:30:41"
"44","06/03/2018 12:00","0.2","5.604","2021-02-26 10:30:42"
"45","06/03/2018 15:00","0.2","5.592","2021-02-26 10:30:43"
"46","06/03/2018 18:00","0.2","5.574","2021-02-26 10:30:44"
"47","06/03/2018 21:00","0.2","5.56","2021-02-26 10:30:45"
"48","07/03/2018 00:00","0.2","5.552","2021-02-26 10:30:46"
"49","07/03/2018 03:00","0.2","5.546","2021-02-26 10:30:47"
"50","07/03/2018 06:00","0.2","5.542","2021-02-26 10:30:47"
"51","07/03/2018 09:00","0.2","5.562","2021-02-26 10:30:48"
"52","07/03/2018 12:00","0.2","5.631","2021-02-26 10:30:49"
"53","07/03/2018 15:00","0.2","5.672","2021-02-26 10:30:50"
"54","07/03/2018 18:00","0.2","5.655","2021-02-26 10:30:51"
"55","07/03/2018 21:00","0.2","5.63","2021-02-26 10:30:52"
"56","08/03/2018 00:00","0.2","5.613","2021-02-26 10:30:53"
"57","08/03/2018 03:00","0.2","5.593","2021-02-26 10:30:54"
"58","08/03/2018 06:00","0.2","5.554","2021-02-26 10:30:54"
"59","08/03/2018 09:00","0.2","5.584","2021-02-26 10:30:56"
"60","08/03/2018 12:00","0.2","5.704","2021-02-26 10:30:56"
"61","08/03/2018 15:00","0.2","5.807","2021-02-26 10:30:57"
"62","08/03/2018 18:00","0.2","5.835","2021-02-26 10:30:58"
"63","08/03/2018 21:00","0.2","5.759","2021-02-26 10:30:59"
"64","09/03/2018 00:00","0.2","5.729","2021-02-26 10:31:00"
"65","09/03/2018 03:00","0.2","5.678","2021-02-26 10:31:00"
"66","09/03/2018 06:00","0.2","5.65","2021-02-26 10:31:01"
"67","09/03/2018 09:00","0.2","5.651","2021-02-26 10:31:02"
"68","09/03/2018 12:00","0.2","5.715","2021-02-26 10:31:03"
"69","09/03/2018 15:00","0.2","5.878","2021-02-26 10:31:04"
"70","09/03/2018 18:00","0.2","5.909","2021-02-26 10:31:04"
"71","09/03/2018 21:00","0.2","5.852","2021-02-26 10:31:05"
"72","10/03/2018 00:00","0.2","5.782","2021-02-26 10:31:06"
"73","10/03/2018 03:00","0.2","5.737","2021-02-26 10:31:07"
"74","10/03/2018 06:00","0.2","5.713","2021-02-26 10:31:08"
"75","10/03/2018 09:00","0.2","5.712","2021-02-26 10:31:09"
"76","10/03/2018 12:00","0.2","5.717","2021-02-26 10:31:09"
"77","10/03/2018 15:00","0.2","5.742","2021-02-26 10:31:10"
"78","10/03/2018 18:00","0.2","5.728","2021-02-26 10:31:11"
"79","10/03/2018 21:00","0.2","5.73","2021-02-26 10:31:12"
"80","11/03/2018 00:00","0.2","5.682","2021-02-26 10:31:12"
"81","11/03/2018 03:00","0.2","5.705","2021-02-26 10:31:13"
"82","11/03/2018 06:00","0.2","5.672","2021-02-26 10:31:14"
"83","11/03/2018 09:00","0.2","5.681","2021-02-26 10:31:15"
"84","11/03/2018 12:00","0.2","5.711","2021-02-26 10:31:16"
"85","11/03/2018 15:00","0.2","5.74","2021-02-26 10:31:17"
"86","11/03/2018 18:00","0.2","5.755","2021-02-26 10:31:17"
"87","11/03/2018 21:00","0.2","5.705","2021-02-26 10:31:18"
"88","12/03/2018 03:00","0.2","5.677","2021-02-26 10:31:20"
"89","12/03/2018 06:00","0.2","5.671","2021-02-26 10:31:21"
"90","12/03/2018 09:00","0.2","5.672","2021-02-26 10:31:21"
"91","12/03/2018 12:00","0.2","5.702","2021-02-26 10:31:22"
"92","12/03/2018 15:00","0.2","5.755","2021-02-26 10:31:23"
"93","12/03/2018 18:00","0.2","5.735","2021-02-26 10:31:24"
"94","12/03/2018 21:00","0.2","5.719","2021-02-26 10:31:24"
"95","13/03/2018 00:00","0.2","5.702","2021-02-26 10:31:25"
"96","13/03/2018 03:00","0.2","5.692","2021-02-26 10:31:26"
"97","13/03/2018 06:00","0.2","5.673","2021-02-26 10:31:27"
"98","13/03/2018 09:00","0.2","5.677","2021-02-26 10:31:27"
"99","13/03/2018 12:00","0.2","5.705","2021-02-26 10:31:28"
"100","13/03/2018 15:00","0.2","5.722","2021-02-26 10:31:29"
"101","13/03/2018 18:00","0.2","5.695","2021-02-26 10:31:30"
"102","13/03/2018 21:00","0.2","5.684","2021-02-26 10:31:31"
"103","14/03/2018 00:00","0.2","5.683","2021-02-26 10:31:32"
"104","14/03/2018 03:00","0.2","5.672","2021-02-26 10:31:32"
"105","14/03/2018 06:00","0.2","5.66","2021-02-26 10:31:33"
"106","14/03/2018 09:00","0.2","5.688","2021-02-26 10:31:34"
"107","14/03/2018 12:00","0.2","5.782","2021-02-26 10:31:35"
"108","14/03/2018 15:00","0.2","5.878","2021-02-26 10:31:36"
"109","14/03/2018 18:00","0.2","5.918","2021-02-26 10:31:36"
"110","14/03/2018 21:00","0.2","5.848","2021-02-26 10:31:37"
"111","15/03/2018 00:00","0.2","5.795","2021-02-26 10:31:38"
"112","15/03/2018 03:00","0.2","5.743","2021-02-26 10:31:39"
"113","15/03/2018 06:00","0.2","5.774","2021-02-26 10:31:40"
"114","15/03/2018 09:00","0.2","5.809","2021-02-26 10:31:40"
"115","15/03/2018 12:00","0.2","5.869","2021-02-26 10:31:41"
"116","15/03/2018 15:00","0.2","5.852","2021-02-26 10:31:42"
"117","15/03/2018 18:00","0.2","5.788","2021-02-26 10:31:43"
"118","15/03/2018 21:00","0.2","5.761","2021-02-26 10:31:44"
"119","16/03/2018 00:00","0.2","5.748","2021-02-26 10:31:44"
"120","16/03/2018 03:00","0.2","5.758","2021-02-26 10:31:45"
"121","16/03/2018 06:00","0.2","5.774","2021-02-26 10:31:46"
"122","16/03/2018 09:00","0.2","5.794","2021-02-26 10:31:47"
"123","16/03/2018 12:00","0.2","5.955","2021-02-26 10:31:48"
"124","16/03/2018 15:00","0.2","6.102","2021-02-26 10:31:48"
"125","16/03/2018 18:00","0.2","6.115","2021-02-26 10:31:49"
"126","16/03/2018 21:00","0.2","6.067","2021-02-26 10:31:50"
"127","17/03/2018 00:00","0.2","6.025","2021-02-26 10:31:51"
"128","17/03/2018 03:00","0.2","6.02","2021-02-26 10:31:52"
"129","17/03/2018 06:00","0.2","5.993","2021-02-26 10:31:52"
"130","17/03/2018 09:00","0.2","5.969","2021-02-26 10:31:53"
"131","17/03/2018 12:00","0.2","5.984","2021-02-26 10:31:54"
"132","17/03/2018 15:00","0.2","5.995","2021-02-26 10:31:55"
"133","17/03/2018 18:00","0.2","5.963","2021-02-26 10:31:56"
"134","17/03/2018 21:00","0.2","5.933","2021-02-26 10:31:57"
"135","18/03/2018 00:00","0.2","5.798","2021-02-26 10:31:57"
"136","18/03/2018 03:00","0.2","5.831","2021-02-26 10:31:58"
"137","18/03/2018 06:00","0.2","5.804","2021-02-26 10:31:59"
"138","18/03/2018 09:00","0.2","5.828","2021-02-26 10:32:00"
"139","18/03/2018 12:00","0.2","5.922","2021-02-26 10:32:01"
"140","18/03/2018 15:00","0.2","5.956","2021-02-26 10:32:01"
"141","18/03/2018 18:00","0.2","5.917","2021-02-26 10:32:02"
"142","18/03/2018 21:00","0.2","5.906","2021-02-26 10:32:03"
"143","19/03/2018 03:00","0.2","5.804","2021-02-26 10:32:05"
"144","19/03/2018 06:00","0.2","5.784","2021-02-26 10:32:05"
"145","19/03/2018 09:00","0.2","5.781","2021-02-26 10:32:06"
"146","19/03/2018 12:00","0.2","5.817","2021-02-26 10:32:07"
"147","19/03/2018 15:00","0.2","5.836","2021-02-26 10:32:08"
"148","19/03/2018 18:00","0.2","5.81","2021-02-26 10:32:08"
"149","19/03/2018 21:00","0.2","5.803","2021-02-26 10:32:09"
"150","20/03/2018 00:00","0.2","5.788","2021-02-26 10:32:10"
