"`id`","`date`","`deep`","`temperature`","`date_maj`"
"2","12/02/2018 03:00","0.2","5.512","2021-10-27 22:47:31"
"3","12/02/2018 06:00","0.2","5.498","2021-10-27 22:47:32"
"4","12/02/2018 09:00","0.2","5.496","2021-10-27 22:47:32"
"5","12/02/2018 12:00","0.2","5.545","2021-10-27 22:47:32"
"6","12/02/2018 15:00","0.2","5.553","2021-10-27 22:47:32"
"7","12/02/2018 18:00","0.2","5.508","2021-10-27 22:47:32"
"8","12/02/2018 21:00","0.2","5.453","2021-10-27 22:47:33"
"9","13/02/2018 00:00","0.2","5.428","2021-10-27 22:47:33"
"10","13/02/2018 03:00","0.2","5.402","2021-10-27 22:47:33"
"11","13/02/2018 06:00","0.2","5.378","2021-10-27 22:47:33"
"12","13/02/2018 09:00","0.2","5.38","2021-10-27 22:47:33"
"13","13/02/2018 12:00","0.2","5.475","2021-10-27 22:47:34"
"14","13/02/2018 15:00","0.2","5.529","2021-10-27 22:47:34"
"15","13/02/2018 18:00","0.2","5.515","2021-10-27 22:47:34"
"16","13/02/2018 21:00","0.2","5.487","2021-10-27 22:47:34"
"17","14/02/2018 00:00","0.2","5.484","2021-10-27 22:47:34"
"18","14/02/2018 03:00","0.2","5.462","2021-10-27 22:47:35"
"19","14/02/2018 06:00","0.2","5.457","2021-10-27 22:47:35"
"20","14/02/2018 09:00","0.2","5.455","2021-10-27 22:47:35"
"21","14/02/2018 12:00","0.2","5.525","2021-10-27 22:47:35"
"22","14/02/2018 15:00","0.2","5.56","2021-10-27 22:47:35"
"23","14/02/2018 18:00","0.2","5.535","2021-10-27 22:47:36"
"24","14/02/2018 21:00","0.2","5.509","2021-10-27 22:47:36"
"25","15/02/2018 00:00","0.2","5.503","2021-10-27 22:47:36"
"26","15/02/2018 03:00","0.2","5.485","2021-10-27 22:47:36"
"27","15/02/2018 06:00","0.2","5.451","2021-10-27 22:47:36"
"28","15/02/2018 09:00","0.2","5.458","2021-10-27 22:47:37"
"29","15/02/2018 12:00","0.2","5.471","2021-10-27 22:47:37"
"30","15/02/2018 15:00","0.2","5.475","2021-10-27 22:47:37"
"31","15/02/2018 18:00","0.2","5.475","2021-10-27 22:47:37"
"32","15/02/2018 21:00","0.2","5.484","2021-10-27 22:47:38"
"33","16/02/2018 00:00","0.2","5.482","2021-10-27 22:47:38"
"34","16/02/2018 03:00","0.2","5.489","2021-10-27 22:47:38"
"35","16/02/2018 06:00","0.2","5.488","2021-10-27 22:47:38"
"36","16/02/2018 09:00","0.2","5.487","2021-10-27 22:47:38"
"37","16/02/2018 12:00","0.2","5.499","2021-10-27 22:47:39"
"38","16/02/2018 15:00","0.2","5.523","2021-10-27 22:47:39"
"39","16/02/2018 18:00","0.2","5.517","2021-10-27 22:47:39"
"40","16/02/2018 21:00","0.2","5.509","2021-10-27 22:47:39"
"41","17/02/2018 00:00","0.2","5.506","2021-10-27 22:47:39"
"42","17/02/2018 03:00","0.2","5.506","2021-10-27 22:47:40"
"43","17/02/2018 06:00","0.2","5.499","2021-10-27 22:47:40"
"44","17/02/2018 09:00","0.2","5.505","2021-10-27 22:47:40"
"45","17/02/2018 12:00","0.2","5.519","2021-10-27 22:47:40"
"46","17/02/2018 15:00","0.2","5.558","2021-10-27 22:47:40"
"47","17/02/2018 18:00","0.2","5.534","2021-10-27 22:47:41"
"48","17/02/2018 21:00","0.2","5.496","2021-10-27 22:47:41"
"49","18/02/2018 00:00","0.2","5.487","2021-10-27 22:47:41"
"50","18/02/2018 03:00","0.2","5.478","2021-10-27 22:47:41"
"51","18/02/2018 06:00","0.2","5.468","2021-10-27 22:47:41"
"52","18/02/2018 09:00","0.2","5.469","2021-10-27 22:47:42"
"53","18/02/2018 12:00","0.2","5.521","2021-10-27 22:47:42"
"54","18/02/2018 15:00","0.2","5.559","2021-10-27 22:47:42"
"55","18/02/2018 18:00","0.2","5.527","2021-10-27 22:47:42"
"56","18/02/2018 21:00","0.2","5.501","2021-10-27 22:47:42"
"57","19/02/2018 03:00","0.2","5.472","2021-10-27 22:47:43"
"58","19/02/2018 06:00","0.2","5.47","2021-10-27 22:47:43"
"59","19/02/2018 09:00","0.2","5.479","2021-10-27 22:47:43"
"60","19/02/2018 12:00","0.2","5.552","2021-10-27 22:47:43"
"61","19/02/2018 15:00","0.2","5.605","2021-10-27 22:47:44"
"62","19/02/2018 18:00","0.2","5.571","2021-10-27 22:47:44"
"63","19/02/2018 21:00","0.2","5.536","2021-10-27 22:47:44"
"64","20/02/2018 00:00","0.2","5.537","2021-10-27 22:47:44"
"65","20/02/2018 03:00","0.2","5.511","2021-10-27 22:47:44"
"66","20/02/2018 06:00","0.2","5.473","2021-10-27 22:47:45"
"67","20/02/2018 09:00","0.2","5.463","2021-10-27 22:47:45"
"68","20/02/2018 12:00","0.2","5.523","2021-10-27 22:47:45"
"69","20/02/2018 15:00","0.2","5.566","2021-10-27 22:47:45"
"70","20/02/2018 18:00","0.2","5.514","2021-10-27 22:47:45"
"71","20/02/2018 21:00","0.2","5.461","2021-10-27 22:47:46"
"72","21/02/2018 00:00","0.2","5.412","2021-10-27 22:47:46"
