Pays;Région;Port;Carburant;Type de payement;PompeAVida;X_GPS;Y_GPS;x;y
Suisse;Genève;Hermance;non;; ;"6,241";"46,301";"694 796,111";"5 828 772,704"
Suisse;Genève;Port des Mouches;non;; ;"6,242";"46,299";"694 819,251";"5 828 391,81"
Suisse;Genève;Anières;non;; ;"6,221";"46,278";"692 506,83";"5 825 067,574"
Suisse;Genève;Corsier;Essence;espèce; ;"6,21";"46,266";"691 244,376";"5 823 130,925"
Suisse;Genève;Collonge-Bellerive;non;; ;"6,192";"46,253";"689 342,214";"5 820 964,171"
Suisse;Genève;La Belotte;non;; ;"6,191";"46,236";"689 129,202";"5 818 270,879"
Suisse;Genève;La Tour-Carrée;non;; ;"6,182";"46,224";"688 154,125";"5 816 353,526"
Suisse;Genève;La Nautique;Diesel et Essence;;oui;"6,17";"46,213";"686 786,15";"5 814 568,378"
Suisse;Genève;Les Eaux-Vives;non;;oui;"6,158";"46,208";"685 460,954";"5 813 821,662"
Suisse;Genève;Port des Pâquis;Essence;carte et espèce;oui;"6,155";"46,211";"685 141,907";"5 814 278,097"
Suisse;Genève;La Perle du Lac;non;; ;"6,153";"46,219";"684 959,792";"5 815 534,335"
Suisse;Genève;Port Barton;non;; ;"6,153";"46,223";"684 923,273";"5 816 091,038"
Suisse;Genève;Port Nautica;non;; ;"6,151";"46,225";"684 670,808";"5 816 528,404"
Suisse;Genève;Le Reposoir;non;; ;"6,151";"46,231";"684 701,209";"5 817 403,336"
Suisse;Genève;Port Gitana;non;; ;"6,154";"46,253";"685 099,241";"5 820 954,83"
Suisse;Genève;Port Saladin;non;; ;"6,157";"46,255";"685 394,24";"5 821 279,774"
Suisse;Genève;Creux de Genthod;non;; ;"6,164";"46,263";"686 194,176";"5 822 611,042"
Suisse;Genève;Versoix-Bourg;non;; ;"6,172";"46,276";"687 024,438";"5 824 674,636"
Suisse;Genève;Port Choiseul;Essence;espèce;oui;"6,173";"46,288";"687 161,899";"5 826 543,366"
Suisse;Vaud;Tannay;non;; ;"6,182";"46,305";"688 230,284";"5 829 297,318"
Suisse;Vaud;Coppet;non;; ;"6,192";"46,314";"689 326,854";"5 830 801,546"
Suisse;Vaud;Founex;non;; ;"6,205";"46,332";"690 704,641";"5 833 695,785"
Suisse;Genève;Céligny;non;; ;"6,208";"46,347";"691 088,332";"5 836 092,284"
Suisse;Vaud;Port Vidoli;non;; ;"6,217";"46,357";"692 049,761";"5 837 757,409"
Suisse;Vaud;Crans;non;; ;"6,218";"46,358";"692 172,575";"5 837 859,458"
Suisse;Vaud;Nyon;Essence;carte et espèce;oui;"6,241";"46,378";"694 731,195";"5 841 125,985"
Suisse;Vaud;Prangins;non;;oui;"6,258";"46,39";"696 642,961";"5 843 015,918"
Suisse;Vaud;Rolle;Essence;carte;oui;"6,337";"46,451";"705 390,285";"5 852 857,061"
Suisse;Vaud;Port des Vernes;non;; ;"6,347";"46,461";"706 544,205";"5 854 486,894"
Suisse;Vaud;Perroy;non;; ;"6,363";"46,462";"708 319,428";"5 854 710,545"
Suisse;Vaud;Port de l'Aubonne;non;; ;"6,39";"46,46";"711 369,543";"5 854 419,236"
Suisse;Vaud;Port de Taillecou;non;; ;"6,462";"46,483";"719 383,832";"5 858 132,248"
Suisse;Vaud;Port du Petit Bois;non;; ;"6,488";"46,5";"722 216,769";"5 860 885,94"
Suisse;Vaud;Port du Château;non;; ;"6,499";"46,506";"723 513,456";"5 861 842,983"
Suisse;Vaud;La Baie de l'Eglise;Diesel et Essence;carte; ;"6,502";"46,512";"723 775,336";"5 862 715,971"
Suisse;Vaud;Port du Bief;non;; ;"6,513";"46,515";"725 050,98";"5 863 189,879"
Suisse;Vaud;Port de la Venoge;non;; ;"6,54";"46,506";"727 974,527";"5 861 873,654"
Suisse;Vaud;Port des Pierrettes;Essence;espèce; ;"6,579";"46,516";"732 372,293";"5 863 449,622"
Suisse;Vaud;Vidy;non;;oui;"6,609";"46,511";"735 723,309";"5 862 617,198"
Suisse;Vaud;Ouchy;Diesel et Essence;carte;oui;"6,624";"46,505";"737 432,609";"5 861 584,536"
Suisse;Vaud;Vieux Port d'Ouchy;non;; ;"6,63";"46,506";"737 994,939";"5 861 780,566"
