"`id`","`date`","`deep`","`temperature`","`date_maj`"
"2","01/03/2018 03:00","0.2","5.086","2021-02-26 19:15:09"
"3","01/03/2018 06:00","0.2","5.053","2021-02-26 19:15:11"
"4","01/03/2018 09:00","0.2","5.067","2021-02-26 19:15:13"
"5","01/03/2018 12:00","0.2","5.088","2021-02-26 19:15:15"
"6","01/03/2018 15:00","0.2","5.095","2021-02-27 08:38:20"
"7","01/03/2018 18:00","0.2","5.072","2021-02-27 08:38:24"
"8","01/03/2018 21:00","0.2","5.054","2021-02-27 08:38:29"
"9","02/03/2018 00:00","0.2","5.052","2021-02-27 08:38:33"
"10","02/03/2018 03:00","0.2","5.045","2021-02-27 08:38:37"
"11","02/03/2018 06:00","0.2","5.054","2021-02-27 08:38:42"
"12","02/03/2018 09:00","0.2","5.153","2021-02-27 08:38:46"
"13","02/03/2018 12:00","0.2","5.176","2021-02-27 08:38:51"
"14","02/03/2018 15:00","0.2","5.23","2021-02-27 08:38:55"
"15","02/03/2018 18:00","0.2","5.235","2021-02-27 08:38:59"
"16","02/03/2018 21:00","0.2","5.18","2021-02-27 08:39:05"
"17","03/03/2018 00:00","0.2","5.142","2021-02-27 08:39:11"
"18","03/03/2018 03:00","0.2","5.103","2021-02-27 08:39:15"
"19","03/03/2018 06:00","0.2","5.102","2021-02-27 08:39:20"
"20","03/03/2018 09:00","0.2","5.134","2021-02-27 11:30:35"
"21","03/03/2018 12:00","0.2","5.156","2021-02-27 11:30:39"
"22","03/03/2018 15:00","0.2","5.195","2021-02-27 11:30:43"
"23","03/03/2018 18:00","0.2","5.224","2021-02-27 11:30:48"
"24","03/03/2018 21:00","0.2","5.231","2021-02-27 11:30:52"
"25","04/03/2018 00:00","0.2","5.148","2021-02-27 11:30:56"
"26","04/03/2018 03:00","0.2","5.149","2021-02-27 11:31:00"
"27","04/03/2018 06:00","0.2","5.087","2021-02-27 11:31:05"
"28","04/03/2018 09:00","0.2","5.093","2021-02-27 11:31:09"
"29","04/03/2018 12:00","0.2","5.245","2021-02-27 11:31:13"
"30","04/03/2018 15:00","0.2","5.32","2021-02-27 11:31:18"
"31","04/03/2018 18:00","0.2","5.318","2021-02-27 11:31:22"
"32","04/03/2018 21:00","0.2","5.318","2021-02-27 11:31:26"
"33","05/03/2018 03:00","0.2","5.348","2021-02-27 11:31:35"
"34","05/03/2018 06:00","0.2","5.321","2021-02-27 11:31:39"
"35","05/03/2018 09:00","0.2","5.335","2021-02-27 11:31:43"
"36","05/03/2018 12:00","0.2","5.453","2021-02-27 11:31:47"
"37","05/03/2018 15:00","0.2","5.54","2021-02-27 11:31:52"
"38","05/03/2018 18:00","0.2","5.512","2021-02-27 11:31:56"
"39","05/03/2018 21:00","0.2","5.478","2021-02-27 11:32:00"
"40","06/03/2018 00:00","0.2","5.474","2021-02-27 11:32:04"
"41","06/03/2018 03:00","0.2","5.471","2021-02-27 11:32:08"
"42","06/03/2018 06:00","0.2","5.464","2021-02-27 11:32:13"
"43","06/03/2018 09:00","0.2","5.484","2021-02-27 11:32:17"
"44","06/03/2018 12:00","0.2","5.513","2021-02-27 11:32:21"
"45","06/03/2018 15:00","0.2","5.528","2021-02-27 11:32:26"
"46","06/03/2018 18:00","0.2","5.518","2021-02-27 11:32:30"
"47","06/03/2018 21:00","0.2","5.511","2021-02-27 11:32:34"
"48","07/03/2018 00:00","0.2","5.501","2021-02-27 11:32:38"
"49","07/03/2018 03:00","0.2","5.493","2021-02-27 11:32:42"
"50","07/03/2018 06:00","0.2","5.48","2021-02-27 11:32:46"
"51","07/03/2018 09:00","0.2","5.471","2021-02-27 11:32:50"
"52","07/03/2018 12:00","0.2","5.541","2021-02-27 11:32:54"
"53","07/03/2018 15:00","0.2","5.527","2021-02-27 11:32:58"
"54","07/03/2018 18:00","0.2","5.497","2021-02-27 11:33:02"
"55","07/03/2018 21:00","0.2","5.46","2021-02-27 11:33:07"
"56","08/03/2018 00:00","0.2","5.435","2021-02-27 11:33:11"
"57","08/03/2018 03:00","0.2","5.416","2021-02-27 11:33:15"
"58","08/03/2018 06:00","0.2","5.39","2021-02-27 11:33:19"
"59","08/03/2018 09:00","0.2","5.406","2021-02-27 11:33:23"
"60","08/03/2018 12:00","0.2","5.543","2021-02-27 11:33:28"
"61","08/03/2018 15:00","0.2","5.645","2021-02-27 11:33:32"
"62","08/03/2018 18:00","0.2","5.644","2021-02-27 11:33:36"
"63","08/03/2018 21:00","0.2","5.601","2021-02-27 11:33:40"
"64","09/03/2018 00:00","0.2","5.573","2021-02-27 11:33:44"
"65","09/03/2018 03:00","0.2","5.548","2021-02-27 11:33:48"
"66","09/03/2018 06:00","0.2","5.531","2021-02-27 11:33:52"
"67","09/03/2018 09:00","0.2","5.545","2021-02-27 11:33:56"
"68","09/03/2018 12:00","0.2","5.617","2021-02-27 11:34:00"
"69","09/03/2018 15:00","0.2","5.724","2021-02-27 11:34:04"
"70","09/03/2018 18:00","0.2","5.712","2021-02-27 11:34:08"
"71","09/03/2018 21:00","0.2","5.671","2021-02-27 11:34:12"
"72","10/03/2018 00:00","0.2","5.652","2021-02-27 11:34:16"
"73","10/03/2018 03:00","0.2","5.637","2021-02-27 11:34:21"
"74","10/03/2018 06:00","0.2","5.623","2021-02-27 11:34:25"
"75","10/03/2018 09:00","0.2","5.631","2021-02-27 11:34:29"
"76","10/03/2018 12:00","0.2","5.647","2021-02-27 11:34:33"
"77","10/03/2018 15:00","0.2","5.659","2021-02-27 11:34:37"
"78","10/03/2018 18:00","0.2","5.687","2021-02-27 11:34:41"
"79","10/03/2018 21:00","0.2","5.679","2021-02-27 11:34:45"
"80","11/03/2018 00:00","0.2","5.601","2021-02-27 11:34:49"
"81","11/03/2018 03:00","0.2","5.628","2021-02-27 11:34:54"
"82","11/03/2018 06:00","0.2","5.637","2021-02-27 11:34:58"
"83","11/03/2018 09:00","0.2","5.68","2021-02-27 11:35:02"
"84","11/03/2018 12:00","0.2","5.731","2021-02-27 11:35:06"
"85","11/03/2018 15:00","0.2","5.783","2021-02-27 11:35:10"
"86","11/03/2018 18:00","0.2","5.797","2021-02-27 11:35:14"
"87","11/03/2018 21:00","0.2","5.776","2021-02-27 11:35:18"
"88","12/03/2018 03:00","0.2","5.73","2021-02-27 11:35:26"
"89","12/03/2018 06:00","0.2","5.725","2021-02-27 11:35:30"
"90","12/03/2018 09:00","0.2","5.736","2021-02-27 11:35:34"
"91","12/03/2018 12:00","0.2","5.762","2021-02-27 11:35:39"
"92","12/03/2018 15:00","0.2","5.797","2021-02-27 11:35:43"
"93","12/03/2018 18:00","0.2","5.768","2021-02-27 11:35:47"
"94","12/03/2018 21:00","0.2","5.752","2021-02-27 11:35:51"
"95","13/03/2018 00:00","0.2","5.723","2021-02-27 11:35:55"
"96","13/03/2018 03:00","0.2","5.681","2021-02-27 11:35:59"
"97","13/03/2018 06:00","0.2","5.645","2021-02-27 11:36:03"
"98","13/03/2018 09:00","0.2","5.637","2021-02-27 11:36:07"
"99","13/03/2018 12:00","0.2","5.648","2021-02-27 11:36:11"
"100","13/03/2018 15:00","0.2","5.64","2021-02-27 11:36:15"
"101","13/03/2018 18:00","0.2","5.619","2021-02-27 11:36:20"
"102","13/03/2018 21:00","0.2","5.596","2021-02-27 11:36:24"
"103","14/03/2018 00:00","0.2","5.592","2021-02-27 11:36:29"
"104","14/03/2018 03:00","0.2","5.58","2021-02-27 11:36:33"
"105","14/03/2018 06:00","0.2","5.561","2021-02-27 11:36:38"
"106","14/03/2018 09:00","0.2","5.593","2021-02-27 11:36:42"
"107","14/03/2018 12:00","0.2","5.722","2021-02-27 11:36:47"
"108","14/03/2018 15:00","0.2","5.891","2021-02-27 11:36:51"
"109","14/03/2018 18:00","0.2","5.855","2021-02-27 11:36:56"
"110","14/03/2018 21:00","0.2","5.771","2021-02-27 11:37:00"
"111","15/03/2018 00:00","0.2","5.716","2021-02-27 11:37:04"
"112","15/03/2018 03:00","0.2","5.692","2021-02-27 11:37:09"
"113","15/03/2018 06:00","0.2","5.67","2021-02-27 11:37:13"
"114","15/03/2018 09:00","0.2","5.663","2021-02-27 11:37:18"
"115","15/03/2018 12:00","0.2","5.713","2021-02-27 11:37:22"
"116","15/03/2018 15:00","0.2","5.742","2021-02-27 11:37:27"
"117","15/03/2018 18:00","0.2","5.704","2021-02-27 11:37:31"
"118","15/03/2018 21:00","0.2","5.673","2021-02-27 11:37:36"
"119","16/03/2018 00:00","0.2","5.661","2021-02-27 11:37:41"
"120","16/03/2018 03:00","0.2","5.655","2021-02-27 11:37:45"
"121","16/03/2018 06:00","0.2","5.644","2021-02-27 11:37:50"
"122","16/03/2018 09:00","0.2","5.667","2021-02-27 11:37:54"
