"`id`","`date`","`deep`","`temperature`","`date_maj`"
"2","01/03/2018 03:00","0.2","5.556","2021-02-25 14:12:53"
"3","01/03/2018 06:00","0.2","5.546","2021-02-25 14:12:53"
"4","01/03/2018 09:00","0.2","5.561","2021-02-25 14:12:53"
"5","01/03/2018 12:00","0.2","5.568","2021-02-25 14:12:53"
"6","01/03/2018 15:00","0.2","5.571","2021-02-25 14:12:53"
"7","01/03/2018 18:00","0.2","5.559","2021-02-25 14:12:54"
"8","01/03/2018 21:00","0.2","5.55","2021-02-25 14:12:54"
"9","02/03/2018 00:00","0.2","5.544","2021-02-25 14:12:54"
"10","02/03/2018 03:00","0.2","5.555","2021-02-25 14:12:54"
"11","02/03/2018 06:00","0.2","5.555","2021-02-25 14:12:55"
"12","02/03/2018 09:00","0.2","5.499","2021-02-25 14:12:55"
"13","02/03/2018 12:00","0.2","5.528","2021-02-25 14:12:55"
"14","02/03/2018 15:00","0.2","5.564","2021-02-25 14:12:55"
"15","02/03/2018 18:00","0.2","5.55","2021-02-25 14:12:55"
"16","02/03/2018 21:00","0.2","5.521","2021-02-25 14:12:56"
"17","03/03/2018 00:00","0.2","5.532","2021-02-25 14:12:56"
"18","03/03/2018 03:00","0.2","5.528","2021-02-25 14:12:56"
"19","03/03/2018 06:00","0.2","5.532","2021-02-25 14:12:56"
"20","03/03/2018 09:00","0.2","5.526","2021-02-25 14:12:57"
"21","03/03/2018 12:00","0.2","5.54","2021-02-25 14:12:57"
"22","03/03/2018 15:00","0.2","5.546","2021-02-25 14:12:57"
"23","03/03/2018 18:00","0.2","5.536","2021-02-25 14:12:57"
"24","03/03/2018 21:00","0.2","5.512","2021-02-25 14:12:57"
"25","04/03/2018 00:00","0.2","5.41","2021-02-25 14:12:58"
"26","04/03/2018 03:00","0.2","5.456","2021-02-25 14:12:58"
"27","04/03/2018 06:00","0.2","5.467","2021-02-25 14:12:58"
"28","04/03/2018 09:00","0.2","5.502","2021-02-25 14:12:58"
"29","04/03/2018 12:00","0.2","5.682","2021-02-25 14:12:58"
"30","04/03/2018 15:00","0.2","5.846","2021-02-25 14:12:59"
"31","04/03/2018 18:00","0.2","5.811","2021-02-25 14:12:59"
"32","04/03/2018 21:00","0.2","5.695","2021-02-25 14:12:59"
"33","05/03/2018 03:00","0.2","5.506","2021-02-25 14:13:00"
"34","05/03/2018 06:00","0.2","5.49","2021-02-25 14:13:00"
"35","05/03/2018 09:00","0.2","5.522","2021-02-25 14:13:00"
"36","05/03/2018 12:00","0.2","5.626","2021-02-25 14:13:00"
"37","05/03/2018 15:00","0.2","5.837","2021-02-25 14:13:00"
"38","05/03/2018 18:00","0.2","5.747","2021-02-25 14:13:01"
"39","05/03/2018 21:00","0.2","5.643","2021-02-25 14:13:01"
"40","06/03/2018 00:00","0.2","5.639","2021-02-25 14:13:01"
"41","06/03/2018 03:00","0.2","5.622","2021-02-25 14:13:01"
"42","06/03/2018 06:00","0.2","5.571","2021-02-25 14:13:01"
