"`id`","`date`","`deep`","`temperature`","`date_maj`"
"2","01/03/2018 03:00","0.2","5.418","2021-02-25 22:29:18"
"3","01/03/2018 06:00","0.2","5.414","2021-02-25 22:29:20"
"4","01/03/2018 09:00","0.2","5.404","2021-02-25 22:29:23"
"5","01/03/2018 12:00","0.2","5.434","2021-02-25 22:29:25"
"6","01/03/2018 15:00","0.2","5.449","2021-02-25 22:29:28"
"7","01/03/2018 18:00","0.2","5.421","2021-02-25 22:29:30"
"8","01/03/2018 21:00","0.2","5.391","2021-02-25 22:29:33"
"9","02/03/2018 00:00","0.2","5.381","2021-02-25 22:29:36"
"10","02/03/2018 03:00","0.2","5.355","2021-02-25 22:29:39"
"11","02/03/2018 06:00","0.2","5.329","2021-02-25 22:29:42"
"12","02/03/2018 09:00","0.2","5.326","2021-02-25 22:29:44"
"13","02/03/2018 12:00","0.2","5.324","2021-02-25 22:29:47"
"14","02/03/2018 15:00","0.2","5.339","2021-02-25 22:29:50"
"15","02/03/2018 18:00","0.2","5.317","2021-02-25 22:29:53"
"16","02/03/2018 21:00","0.2","5.241","2021-02-25 22:29:56"
"17","03/03/2018 00:00","0.2","5.258","2021-02-25 22:29:58"
"18","03/03/2018 03:00","0.2","5.232","2021-02-25 22:30:01"
"19","03/03/2018 06:00","0.2","5.184","2021-02-25 22:30:05"
"20","03/03/2018 09:00","0.2","5.136","2021-02-25 22:30:08"
"21","03/03/2018 12:00","0.2","5.126","2021-02-25 22:30:11"
"22","03/03/2018 15:00","0.2","5.111","2021-02-25 22:30:14"
"23","03/03/2018 18:00","0.2","5.094","2021-02-25 22:30:17"
"24","03/03/2018 21:00","0.2","5.062","2021-02-25 22:30:21"
"25","04/03/2018 00:00","0.2","4.943","2021-02-25 22:30:24"
"26","04/03/2018 03:00","0.2","4.997","2021-02-25 22:30:28"
"27","04/03/2018 06:00","0.2","4.972","2021-02-25 22:30:32"
"28","04/03/2018 09:00","0.2","4.995","2021-02-25 22:30:35"
"29","04/03/2018 12:00","0.2","5.073","2021-02-25 22:30:38"
"30","04/03/2018 15:00","0.2","5.064","2021-02-25 22:30:42"
"31","04/03/2018 18:00","0.2","5.033","2021-02-25 22:30:46"
"32","04/03/2018 21:00","0.2","5.015","2021-02-25 22:30:49"
"33","05/03/2018 03:00","0.2","5.023","2021-02-25 22:30:56"
"34","05/03/2018 06:00","0.2","5.008","2021-02-25 22:31:00"
"35","05/03/2018 09:00","0.2","5.015","2021-02-25 22:31:03"
"36","05/03/2018 12:00","0.2","5.101","2021-02-25 22:31:07"
"37","05/03/2018 15:00","0.2","5.154","2021-02-25 22:31:11"
"38","05/03/2018 18:00","0.2","5.131","2021-02-25 22:31:14"
"39","05/03/2018 21:00","0.2","5.115","2021-02-25 22:31:17"
"40","06/03/2018 00:00","0.2","5.111","2021-02-25 22:31:21"
"41","06/03/2018 03:00","0.2","5.117","2021-02-25 22:31:25"
"42","06/03/2018 06:00","0.2","5.109","2021-02-25 22:31:28"
"43","06/03/2018 09:00","0.2","5.115","2021-02-25 22:31:32"
"44","06/03/2018 12:00","0.2","5.144","2021-02-25 22:31:35"
"45","06/03/2018 15:00","0.2","5.139","2021-02-25 22:31:39"
"46","06/03/2018 18:00","0.2","5.13","2021-02-25 22:31:42"
"47","06/03/2018 21:00","0.2","5.117","2021-02-25 22:31:46"
"48","07/03/2018 00:00","0.2","5.106","2021-02-25 22:31:49"
"49","07/03/2018 03:00","0.2","5.1","2021-02-25 22:31:53"
"50","07/03/2018 06:00","0.2","5.089","2021-02-25 22:31:56"
"51","07/03/2018 09:00","0.2","5.106","2021-02-25 22:32:00"
"52","07/03/2018 12:00","0.2","5.19","2021-02-25 22:32:04"
"53","07/03/2018 15:00","0.2","5.232","2021-02-25 22:32:07"
"54","07/03/2018 18:00","0.2","5.209","2021-02-25 22:32:11"
"55","07/03/2018 21:00","0.2","5.186","2021-02-25 22:32:14"
"56","08/03/2018 00:00","0.2","5.175","2021-02-25 22:32:18"
"57","08/03/2018 03:00","0.2","5.172","2021-02-25 22:32:21"
"58","08/03/2018 06:00","0.2","5.15","2021-02-25 22:32:25"
"59","08/03/2018 09:00","0.2","5.179","2021-02-25 22:32:28"
