"`id`","`date`","`deep`","`temperature`","`date_maj`"
"2","01/03/2018 03:00","0.2","5.484","2023-04-16 22:09:14"
"3","01/03/2018 06:00","0.2","5.456","2023-04-16 22:09:14"
"4","01/03/2018 09:00","0.2","5.477","2023-04-16 22:09:14"
"5","01/03/2018 12:00","0.2","5.491","2023-04-16 22:09:15"
"6","01/03/2018 15:00","0.2","5.483","2023-04-16 22:09:16"
"7","01/03/2018 18:00","0.2","5.477","2023-04-16 22:09:16"
"8","01/03/2018 21:00","0.2","5.445","2023-04-16 22:09:17"
"9","02/03/2018 00:00","0.2","5.452","2023-04-16 22:09:18"
"10","02/03/2018 03:00","0.2","5.447","2023-04-16 22:09:19"
"11","02/03/2018 06:00","0.2","5.453","2023-04-16 22:09:20"
"12","02/03/2018 09:00","0.2","5.451","2023-04-16 22:09:21"
"13","02/03/2018 12:00","0.2","5.48","2023-04-16 22:09:22"
"14","02/03/2018 15:00","0.2","5.521","2023-04-16 22:09:22"
"15","02/03/2018 18:00","0.2","5.5","2023-04-16 22:09:24"
"16","02/03/2018 21:00","0.2","5.465","2023-04-16 22:09:25"
"17","03/03/2018 00:00","0.2","5.501","2023-04-16 22:09:26"
"18","03/03/2018 03:00","0.2","5.497","2023-04-16 22:09:27"
"19","03/03/2018 06:00","0.2","5.475","2023-04-16 22:09:28"
"20","03/03/2018 09:00","0.2","5.477","2023-04-16 22:09:29"
"21","03/03/2018 12:00","0.2","5.502","2023-04-16 22:09:30"
"22","03/03/2018 15:00","0.2","5.505","2023-04-16 22:09:31"
"23","03/03/2018 18:00","0.2","5.495","2023-04-16 22:09:32"
"24","03/03/2018 21:00","0.2","5.497","2023-04-16 22:09:34"
"25","04/03/2018 00:00","0.2","5.401","2023-04-16 22:09:35"
"26","04/03/2018 03:00","0.2","5.442","2023-04-16 22:09:37"
"27","04/03/2018 06:00","0.2","5.435","2023-04-16 22:09:38"
"28","04/03/2018 09:00","0.2","5.463","2023-04-16 22:09:40"
"29","04/03/2018 12:00","0.2","5.537","2023-04-16 22:09:41"
"30","04/03/2018 15:00","0.2","5.539","2023-04-16 22:09:43"
"31","04/03/2018 18:00","0.2","5.499","2023-04-16 22:09:44"
"32","04/03/2018 21:00","0.2","5.49","2023-04-16 22:09:46"
"33","05/03/2018 00:00","0.2","5.484","2023-04-16 22:09:47"
"34","05/03/2018 03:00","0.2","5.487","2023-04-16 22:09:49"
"35","05/03/2018 06:00","0.2","5.473","2023-04-16 22:09:50"
"36","05/03/2018 09:00","0.2","5.496","2023-04-16 22:09:52"
"37","05/03/2018 12:00","0.2","5.582","2023-04-16 22:09:53"
"38","05/03/2018 15:00","0.2","5.641","2023-04-16 22:09:55"
"39","05/03/2018 18:00","0.2","5.619","2023-04-16 22:09:56"
"40","05/03/2018 21:00","0.2","5.579","2023-04-16 22:09:58"
"41","06/03/2018 00:00","0.2","5.56","2023-04-16 22:09:59"
"42","06/03/2018 03:00","0.2","5.551","2023-04-16 22:10:01"
"43","06/03/2018 06:00","0.2","5.54","2023-04-16 22:10:02"
"44","06/03/2018 09:00","0.2","5.54","2023-04-16 22:10:04"
"45","06/03/2018 12:00","0.2","5.569","2023-04-16 22:10:06"
"46","06/03/2018 15:00","0.2","5.562","2023-04-16 22:10:08"
"47","06/03/2018 18:00","0.2","5.549","2023-04-16 22:10:10"
"48","06/03/2018 21:00","0.2","5.533","2023-04-16 22:10:12"
"49","07/03/2018 00:00","0.2","5.518","2023-04-16 22:10:14"
"50","07/03/2018 03:00","0.2","5.51","2023-04-16 22:10:15"
"51","07/03/2018 06:00","0.2","5.5","2023-04-16 22:10:17"
"52","07/03/2018 09:00","0.2","5.517","2023-04-16 22:10:19"
"53","07/03/2018 12:00","0.2","5.569","2023-04-16 22:10:21"
"54","07/03/2018 15:00","0.2","5.611","2023-04-16 22:10:23"
"55","07/03/2018 18:00","0.2","5.547","2023-04-16 22:10:25"
"56","07/03/2018 21:00","0.2","5.494","2023-04-16 22:10:27"
"57","08/03/2018 00:00","0.2","5.463","2023-04-16 22:10:28"
"58","08/03/2018 03:00","0.2","5.437","2023-04-16 22:10:30"
"59","08/03/2018 06:00","0.2","5.413","2023-04-16 22:10:32"
"60","08/03/2018 09:00","0.2","5.444","2023-04-16 22:10:33"
"61","08/03/2018 12:00","0.2","5.576","2023-04-16 22:10:35"
"62","08/03/2018 15:00","0.2","5.71","2023-04-16 22:10:36"
"63","08/03/2018 18:00","0.2","5.553","2023-04-16 22:10:38"
"64","08/03/2018 21:00","0.2","5.467","2023-04-16 22:10:39"
"65","09/03/2018 00:00","0.2","5.429","2023-04-16 22:10:41"
"66","09/03/2018 03:00","0.2","5.407","2023-04-16 22:10:42"
"67","09/03/2018 06:00","0.2","5.417","2023-04-16 22:10:49"
"68","09/03/2018 09:00","0.2","5.456","2023-04-16 22:10:50"
"69","09/03/2018 12:00","0.2","5.55","2023-04-16 22:10:52"
"70","09/03/2018 15:00","0.2","5.663","2023-04-16 22:10:54"
"71","09/03/2018 18:00","0.2","5.561","2023-04-16 22:10:55"
"72","09/03/2018 21:00","0.2","5.471","2023-04-16 22:10:57"
"73","10/03/2018 00:00","0.2","5.457","2023-04-16 22:10:58"
"74","10/03/2018 03:00","0.2","5.449","2023-04-16 22:11:00"
"75","10/03/2018 06:00","0.2","5.434","2023-04-16 22:11:01"
"76","10/03/2018 09:00","0.2","5.435","2023-04-16 22:11:03"
"77","10/03/2018 12:00","0.2","5.435","2023-04-16 22:11:04"
"78","10/03/2018 15:00","0.2","5.436","2023-04-16 22:11:06"
"79","10/03/2018 18:00","0.2","5.424","2023-04-16 22:11:07"
"80","10/03/2018 21:00","0.2","5.36","2023-04-16 22:11:09"
"81","11/03/2018 00:00","0.2","5.244","2023-04-16 22:11:11"
