day2024,temp_warming,temp_warming_noise,temp_warming_noise_extreme,temp_warming_noise_extreme_inertia,temp_warming_noise_extreme_inertia_currents
1,8.12242,9.69147,9.69147,9.93673,10.10158
2,8.10851,8.86920,8.86920,9.19669,9.06181
3,8.09500,9.32075,9.32075,9.60309,9.75466
4,8.08186,7.87112,7.87112,8.29842,8.18051
5,8.06903,8.45430,8.45430,8.82328,8.85855
6,8.05648,8.77913,8.77913,9.11563,8.97831
7,8.04416,8.59430,8.59430,8.94928,8.89023
8,8.03203,8.95031,8.95031,9.26969,9.33704
9,8.02006,8.08722,8.08722,8.49291,8.61272
10,8.00820,8.82289,8.82289,9.15501,9.27543
11,7.99643,8.63124,8.63124,8.98252,8.83855
12,7.98472,7.62216,7.62216,8.07435,8.24005
13,7.97302,8.19044,8.19044,8.58581,8.44150
14,7.96133,8.91589,8.91589,9.23871,9.43667
15,7.94960,8.27713,8.27713,8.66383,8.61882
16,7.93782,8.52136,8.52136,8.88363,8.79114
17,7.92597,7.39191,7.39191,7.86713,8.05286
18,7.91402,7.90881,7.90881,8.33234,8.30809
19,7.90196,8.11813,8.11813,8.52073,8.35585
20,7.88978,8.20936,8.20936,8.60283,8.56165
21,7.87746,8.23883,8.23883,8.62936,8.76722
22,7.86500,8.52765,8.52765,8.88930,8.98646
23,7.85238,7.87278,7.87278,8.29991,8.33739
24,7.83960,8.38950,8.38950,8.76496,8.95334
25,7.82666,8.13228,8.13228,8.53346,8.38841
26,7.81356,8.77975,8.77975,9.11619,9.17687
27,7.80031,8.74872,8.74872,9.08826,8.98990
28,7.78689,7.74257,7.74257,8.18272,8.16765
29,7.77333,7.79412,9.02539,9.33726,9.52216
30,7.75964,8.07312,10.44536,10.61523,10.53799
31,7.74581,7.69693,5.92292,6.54504,6.38980
32,7.73188,8.03860,8.03860,8.44914,8.49316
33,7.71785,8.26039,8.26039,8.64876,8.81660
34,7.70375,7.44270,7.44270,7.91284,7.73485
35,7.68959,8.29535,5.98165,6.59790,6.75954
36,7.67541,7.55783,10.13081,10.33214,10.15920
37,7.66121,8.58033,6.00253,6.61668,6.41740
38,7.64704,7.37710,7.37710,7.85380,8.00886
39,7.63293,7.68665,7.68665,8.13240,8.29198
40,7.61890,7.97053,7.97053,8.38789,8.34937
41,7.60500,8.10549,8.10549,8.50935,8.66223
42,7.59125,7.96884,7.96884,8.38637,8.48939
43,7.57770,8.82956,8.82956,9.16101,9.19630
44,7.56438,7.74204,7.74204,8.18224,8.32211
45,7.55135,7.82012,7.82012,8.25252,8.19450
46,7.53864,8.06942,8.06942,8.47688,8.47010
