day2050,temp_warming,temp_warming_noise,temp_warming_noise_extreme,temp_warming_noise_extreme_inertia,temp_warming_noise_extreme_inertia_currents
1,9.35582,8.78527,8.78527,9.10270,8.95391
2,9.34191,8.76747,8.76747,9.08667,8.99863
3,9.32840,9.12610,7.64903,8.08008,8.20990
4,9.31526,10.32744,11.63659,11.66888,11.64465
5,9.30243,9.55384,10.98336,11.08097,10.90605
6,9.28988,9.12971,9.12971,9.41269,9.24700
7,9.27756,9.73075,9.73075,9.95363,9.98994
8,9.26543,9.57717,11.86010,11.87005,11.89051
9,9.25346,10.19896,12.14930,12.13033,12.00768
10,9.24160,8.96846,6.41251,6.96721,6.78060
11,9.22983,10.40148,8.16676,8.54604,8.38591
12,9.21812,8.86452,5.99417,6.59070,6.51352
13,9.20642,9.06405,10.80876,10.92384,10.88478
14,9.19473,9.33761,9.33761,9.59980,9.47413
15,9.18300,9.51588,9.51588,9.76024,9.84558
16,9.17122,9.09778,9.09778,9.38396,9.52091
17,9.15937,9.98977,9.98977,10.18675,10.15177
18,9.14742,10.08188,10.08188,10.26965,10.14895
19,9.13536,9.41321,9.41321,9.66784,9.53237
20,9.12318,10.50565,13.00308,12.89872,12.96982
21,9.11086,9.40572,11.40075,11.45663,11.54136
22,9.09840,9.36011,11.94182,11.94359,12.07706
23,9.08578,10.37594,10.37594,10.53430,10.65953
24,9.07300,9.68029,9.68029,9.90821,9.88196
25,9.06006,9.75194,9.75194,9.97270,10.05853
26,9.04696,9.05415,9.05415,9.34469,9.54379
27,9.03371,9.00275,9.00275,9.29843,9.17388
28,9.02029,9.94297,9.94297,10.14463,10.33335
29,9.00673,9.37911,9.37911,9.63715,9.59941
30,8.99304,9.78394,11.92332,11.92694,11.89346
31,8.97921,9.68695,11.12080,11.20467,11.07664
32,8.96528,9.16546,6.33777,6.89995,6.83911
33,8.95125,9.34642,9.34642,9.60773,9.45552
34,8.93715,8.98317,8.98317,9.28081,9.18424
35,8.92299,9.64841,9.64841,9.87952,9.97487
36,8.90881,8.80067,8.80067,9.11656,9.30750
37,8.89461,9.45181,9.45181,9.70258,9.79554
38,8.88044,8.93811,8.93811,9.24025,9.31128
39,8.86633,8.91182,8.91182,9.21660,9.25600
40,8.85230,9.56191,9.56191,9.80167,9.98866
41,8.83840,9.29487,9.29487,9.56133,9.63183
42,8.82465,9.56210,9.56210,9.80184,9.80542
43,8.81110,8.84765,8.84765,9.15884,9.02536
44,8.79778,9.54698,9.54698,9.78824,9.95940
45,8.78475,9.07088,9.07088,9.35975,9.55447
46,8.77204,8.34500,8.34500,8.70646,8.80000
47,8.75970,10.30971,10.30971,10.47469,10.44924
48,8.74778,10.13416,10.13416,10.31670,10.30395
49,8.73633,8.87906,8.87906,9.18711,9.03998
50,8.72540,8.31514,8.31514,8.67958,8.79952
51,8.71505,9.08493,9.08493,9.37239,9.24955
52,8.70532,9.24812,9.24812,9.51926,9.63405
53,8.69627,8.94025,8.94025,9.24217,9.09567
54,8.68796,8.92259,8.92259,9.22629,9.03556
55,8.68045,9.26993,9.26993,9.53889,9.51631
56,8.67379,9.21652,9.21652,9.49082,9.64585
57,8.66806,9.37206,9.37206,9.63081,9.55574
58,8.66330,9.47448,9.47448,9.72299,9.76959
59,8.65958,9.09123,9.09123,9.37806,9.36912
60,8.65696,9.08344,9.08344,9.37105,9.33795
61,8.65552,8.64862,8.64862,8.97971,9.04341
62,8.65530,8.92762,8.92762,9.23081,9.16706
63,8.65638,8.34099,8.34099,8.70284,8.72286
64,8.65882,8.90064,8.90064,9.20653,9.05950
65,8.66268,8.68620,8.68620,9.01354,9.14655
66,8.66804,7.72651,7.72651,8.14981,8.26272
67,8.67495,9.21487,9.21487,9.48934,9.36518
68,8.68349,9.52975,9.52975,9.77272,9.96801
69,8.69371,8.69735,8.69735,9.02357,9.13472
70,8.70569,9.08743,9.08743,9.37464,9.27716
71,8.71949,9.24109,9.24109,9.51294,9.36610
72,8.73517,8.61719,8.61719,8.95143,9.09286
73,8.75280,8.93012,8.93012,9.23306,9.42299
74,8.77244,8.97109,8.97109,9.26994,9.20319
75,8.79416,8.35903,8.35903,8.71908,8.87218
76,8.81801,9.81566,9.81566,10.03004,10.17040
77,8.84406,9.74271,7.53491,7.97737,7.99968
78,8.87237,8.77323,7.50833,7.95345,7.95421
79,8.90299,9.06243,7.30319,7.76883,7.65610
80,8.93599,9.91977,9.91977,10.12375,10.05510
81,8.97142,8.95811,8.95811,9.25826,9.35940
82,9.00934,8.90769,8.90769,9.21287,9.06228
83,9.04980,8.36552,4.13068,4.91356,4.80397
84,9.09285,9.11081,13.15179,13.03257,13.21133
85,9.13854,9.64911,13.92814,13.73128,13.73640
86,9.18693,9.57467,13.31664,13.18093,13.31439
87,9.23806,9.58599,9.58599,9.82334,9.71013
88,9.29197,9.28992,9.28992,9.55688,9.72121
89,9.34871,9.42121,9.42121,9.67505,9.86703
90,9.40832,9.74970,9.74970,9.97069,9.79270
91,9.47083,9.94149,9.94149,10.14330,10.19752
92,9.53629,9.87312,9.87312,10.08176,9.88380
93,9.60473,10.20761,10.20761,10.38280,10.40439
